year,fy_end,state_name,state_code,no_of_credit_accounts,amount_outstanding_rs_crore
2010,2010,Andaman And Nicobar Islands,35,27516.0,662.89
2010,2010,Andhra Pradesh,28,11812769.0,127597.68
2010,2010,Arunachal Pradesh,12,62572.0,1418.42
2010,2010,Assam,18,1509265.0,19663.58
2010,2010,Bihar,10,4121515.0,29852.83
2010,2010,Chandigarh,4,289519.0,42089.15
2010,2010,Chhattisgarh,22,1012290.0,26335.43
2010,2010,Delhi,7,1991554.0,398818.79
2010,2010,Goa,30,233742.0,8142.84
2010,2010,Gujarat,24,3621407.0,161843.75
2010,2010,Haryana,6,1982888.0,83126.31999999999
2010,2010,Himachal Pradesh,2,556579.0,13725.07
2010,2010,Jammu And Kashmir,1,597777.0,16094.65
2010,2010,Jharkhand,20,1452974.0,23380.1
2010,2010,Karnataka,29,8764496.0,233046.24
2010,2010,Kerala,32,6060588.0,98137.74
2010,2010,Ladakh,37,8304.0,142.91
2010,2010,Lakshadweep,31,4057.0,32.97
2010,2010,Madhya Pradesh,23,3946200.0,75303.27
2010,2010,Maharashtra,27,24134001.0,911172.32
2010,2010,Manipur,14,86704.0,1210.16
2010,2010,Meghalaya,17,129677.0,2497.31
2010,2010,Mizoram,15,72776.0,1292.99
2010,2010,Nagaland,13,101107.0,1682.96
2010,2010,Odisha,21,3376684.0,47918.31
2010,2010,Puducherry,34,245037.0,3621.27
2010,2010,Punjab,3,2284628.0,97242.68
2010,2010,Rajasthan,8,3847554.0,103084.4
2010,2010,Sikkim,11,44323.0,1552.8
2010,2010,Tamil Nadu,33,19163255.0,322008.87
2010,2010,Telangana,36,1950963.0,145840.76
2010,2010,The Dadra And Nagar Haveli And Daman And Diu,38,15068.0,1540.91
2010,2010,Tripura,16,318137.0,2357.05
2010,2010,Uttar Pradesh,9,9800521.0,147856.11
2010,2010,Uttarakhand,5,785939.0,16022.78
2010,2010,West Bengal,19,4235493.0,178851.24
2011,2011,Andaman And Nicobar Islands,35,28615.0,699.03
2011,2011,Andhra Pradesh,28,12487954.0,156472.23
2011,2011,Arunachal Pradesh,12,66279.0,1424.27
2011,2011,Assam,18,1652762.0,22740.32
2011,2011,Bihar,10,4738919.0,37690.91
2011,2011,Chandigarh,4,239063.0,45539.81
2011,2011,Chhattisgarh,22,1057174.0,31896.82
2011,2011,Delhi,7,2448328.0,514010.63
2011,2011,Goa,30,229994.0,9824.85
2011,2011,Gujarat,24,3743159.0,193012.29
2011,2011,Haryana,6,2137465.0,110787.28
2011,2011,Himachal Pradesh,2,631449.0,15749.96
2011,2011,Jammu And Kashmir,1,589450.0,14190.7
2011,2011,Jharkhand,20,1609761.0,26880.47
2011,2011,Karnataka,29,9106718.0,265227.46
2011,2011,Kerala,32,6432794.0,126229.92
2011,2011,Ladakh,37,7470.0,147.33
2011,2011,Lakshadweep,31,4955.0,46.06
2011,2011,Madhya Pradesh,23,3601264.0,83011.6
2011,2011,Maharashtra,27,23390025.0,1089700.21
2011,2011,Manipur,14,91441.0,1231.98
2011,2011,Meghalaya,17,137913.0,2833.87
2011,2011,Mizoram,15,71818.0,1269.75
2011,2011,Nagaland,13,99114.0,1431.13
2011,2011,Odisha,21,3807974.0,57239.2
2011,2011,Puducherry,34,277169.0,4389.49
2011,2011,Punjab,3,2353207.0,141952.28
2011,2011,Rajasthan,8,4107089.0,122602.35
2011,2011,Sikkim,11,37745.0,2052.83
2011,2011,Tamil Nadu,33,17776469.0,408517.25
2011,2011,Telangana,36,2039133.0,179869.01
2011,2011,The Dadra And Nagar Haveli And Daman And Diu,38,16672.0,1419.86
2011,2011,Tripura,16,278196.0,2841.24
2011,2011,Uttar Pradesh,9,10235306.0,179190.49
2011,2011,Uttarakhand,5,807430.0,19015.6
2011,2011,West Bengal,19,4383819.0,204507.2
2012,2012,Andaman And Nicobar Islands,35,33057.0,837.85
2012,2012,Andhra Pradesh,28,13354973.0,186141.84
2012,2012,Arunachal Pradesh,12,71401.0,1631.91
2012,2012,Assam,18,1787055.0,26852.42
2012,2012,Bihar,10,4863478.0,44242.32
2012,2012,Chandigarh,4,271135.0,45085.01
2012,2012,Chhattisgarh,22,1085975.0,38318.27
2012,2012,Delhi,7,3739905.0,641837.81
2012,2012,Goa,30,245460.0,10986.63
2012,2012,Gujarat,24,3945108.0,236844.5
2012,2012,Haryana,6,2042622.0,137834.84
2012,2012,Himachal Pradesh,2,590547.0,17105.94
2012,2012,Jammu And Kashmir,1,678900.0,16864.74
2012,2012,Jharkhand,20,1708681.0,30133.52
2012,2012,Karnataka,29,8839088.0,306519.97
2012,2012,Kerala,32,7083494.0,151848.91
2012,2012,Ladakh,37,8011.0,183.97
2012,2012,Lakshadweep,31,6382.0,54.04
2012,2012,Madhya Pradesh,23,3989941.0,101335.03
2012,2012,Maharashtra,27,24180287.0,1261993.92
2012,2012,Manipur,14,92537.0,1349.43
