march_year,fy_end,state_key,no_of_credit_accounts,credit_outstanding_rs_crore,credit_offices,credit_src,no_of_deposit_accounts,deposit_amount_rs_crore,no_of_offices,deposit_src
2018,2018,andaman and nicobar islands,43648,1842.9808,66,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",601404.0,4683.3509,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,andhra pradesh,10020013,284644.9544,5557,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",91175427.0,274565.8859,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,arunachal pradesh,79804,3183.539,122,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1546379.0,13448.9272,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,assam,3503630,52842.5959,1817,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",42720628.0,134287.0908,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,bihar,5656263,85158.5958,4482,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",114165114.0,314811.2411,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,chandigarh,230698,69673.1373,392,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",4254424.0,61928.3963,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,chhattisgarh,1504076,80820.7555,1836,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",36974712.0,132428.8082,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,dadra and nagar haveli and daman and diu,48378,2946.3044,105,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1362020.0,8473.0576,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,delhi,3488712,1076997.5999,3456,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",49891675.0,1144641.5234,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,goa,308465,17426.6031,659,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",5757458.0,65275.4331,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,gujarat,5410386,476403.7081,6967,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",94293480.0,640357.9003,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,haryana,2918829,206090.3722,4051,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",50062029.0,366392.9075,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,himachal pradesh,702750,25002.2155,1324,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",13232267.0,84896.1811,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,jammu and kashmir,1407164,42560.5837,1402,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",20578048.0,103991.1491,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,jharkhand,2437205,51724.8334,2441,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",44821510.0,195691.0753,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,karnataka,10079603,551405.6301,7976,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",117549212.0,835662.1836,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,kerala,7562074,265714.28,5589,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",69198441.0,441923.4521,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,lakshadweep,5301,82.3505,13,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",86383.99999999999,997.3094,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,madhya pradesh,6056046,210503.3223,5077,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",100452566.0,341432.6776,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,maharashtra,29949044,2442939.4237,11197,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",197698212.0,2292825.4457,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,manipur,135676,3893.2592,150,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",2785256.0,9018.7422,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,meghalaya,191417,5181.208,241,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",2745651.0,21502.6243,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,mizoram,70238,1938.9456,102,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1373928.9999999998,8467.9457,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,nagaland,131527,3453.2275,147,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1433284.0,10014.0852,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,odisha,4060703,93268.5251,3731,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",60007175.0,268905.4205,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,puducherry,418645,9832.0699,198,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",2742377.0,16241.5102,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,punjab,3438412,214522.7103,5932,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",60450968.0,347797.4044,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,rajasthan,5784112,238458.0163,5555,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",87727566.0,334008.1655,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,sikkim,64373,2272.1698,135,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",1004464.0,8532.8445,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,tamil nadu,38552759,804302.9493,9905,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",136223243.0,716716.4979,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,telangana,5829719,432149.6061,4087,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",67677137.99999999,417817.3143,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,tripura,636230,6586.4861,303,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",6244568.999999999,22020.2338,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
2018,2018,uttar pradesh,11057943,347993.2161,12426,"RBI DBIE BSR-1 Table 1.3 (quarterly, excl RRBs)",258710682.0,953577.9099,,"India Data Portal, RBI BSR-2 bank-group file (year label 2017 = 31-Mar-2018)"
