state_raw,year_label,fy_end,value,table,source_title,source_url
Chandigarh,2004,2004,10941.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Chandigarh,2005,2005,11034.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Chandigarh,2006,2006,14184.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Chandigarh,2007,2007,18974.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Chandigarh,2008,2008,22396.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Chandigarh,2009,2009,31974.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Chandigarh,2010,2010,41279.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Chandigarh,2011,2011,46221.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Chandigarh,2012,2012,45486.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Chandigarh,2013,2013,57852.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Chandigarh,2014,2014,57897.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Delhi,2004,2004,109552.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Delhi,2005,2005,139662.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Delhi,2006,2006,181846.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Delhi,2007,2007,238054.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Delhi,2008,2008,286520.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Delhi,2009,2009,355103.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Delhi,2010,2010,421554.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Delhi,2011,2011,551995.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Delhi,2012,2012,653735.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Delhi,2013,2013,734637.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Delhi,2014,2014,844416.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Haryana,2004,2004,14576.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Haryana,2005,2005,18908.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
Haryana,2006,2006,28329.0,t156_credit,Table 156: State-wise Credit by Scheduled Commercial Banks,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23605
