state_raw,year_label,fy_end,value,table,source_title,source_url
Andaman & Nicobar Islands,2011-12,2012,89100.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Andaman & Nicobar Islands,2012-13,2013,98777.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Andaman & Nicobar Islands,2013-14,2014,111087.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Andaman & Nicobar Islands,2014-15,2015,126344.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Andaman & Nicobar Islands,2015-16,2016,137064.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Andaman & Nicobar Islands,2016-17,2017,153904.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Andhra Pradesh,2011-12,2012,69000.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Andhra Pradesh,2012-13,2013,74687.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Andhra Pradesh,2013-14,2014,82870.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
Andhra Pradesh,2014-15,2015,93903.0,t19_pc_nsdp_current,Table 19: Per Capita Net State Domestic Product (Current Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23468
