state_key,diglit_w,diglit_m,diglit_both,diglit_gap,diglit_w_urban,diglit_w_rural,nss75_computer,nss75_internet,schooling_w,schooling_m,everschool_w,mobile_w,bankacct_w,mobile_w_2016,schooling_w_2016,bankacct_w_2016,mobile_w_change,mpce,ln_mpce,mpce_rural,mpce_urban,lit2011,lit2011_undivided_ap,urban_share_nfhs
ANDAMAN AND NICOBAR ISLANDS,34.8,46.5,40.65,11.7,44.1,27.9,,,52.5,52.3,83.5,80.8,89.2,66.9,49.1,81.8,13.9,8582.5185,9.0575,7332.0,10268.0,86.63,False,42.5926
ANDHRA PRADESH,21.0,48.8,34.9,27.8,33.9,15.4,14.4,17.1,39.6,47.9,65.6,48.9,81.8,36.2,34.3,66.3,12.7,5448.7676,8.6031,4870.0,6782.0,67.02,True,30.2703
ARUNACHAL PRADESH,52.9,71.6,62.25,18.7,70.0,49.6,,,39.4,48.2,71.2,76.4,78.2,59.8,31.0,56.6,16.6,5819.5294,8.669,5276.0,8636.0,65.38,False,16.1765
ASSAM,28.2,42.3,35.25,14.1,49.0,24.4,10.0,16.6,29.6,35.5,78.2,57.2,78.5,46.0,26.2,45.4,11.2,3849.6911,8.2557,3432.0,6136.0,72.19,False,15.4472
BIHAR,20.6,43.6,32.1,23.0,38.4,17.0,8.0,12.1,28.8,42.8,61.1,51.4,76.7,40.9,22.8,26.4,10.5,3616.8224,8.1934,3384.0,4768.0,61.8,False,16.8224
CHANDIGARH,75.2,91.9,83.55,16.7,75.2,,,,59.6,64.5,86.7,70.0,87.1,74.2,59.2,79.6,-4.2,12575.0,9.4395,7467.0,12575.0,86.05,False,100.0
CHHATTISGARH,26.7,56.3,41.5,29.6,44.5,20.8,10.8,12.9,36.9,41.5,69.3,40.7,80.3,31.0,26.5,51.3,9.7,2968.1224,7.9957,2466.0,4483.0,70.28,False,24.8945
DELHI,63.8,85.2,74.5,21.4,63.7,69.2,42.8,50.5,59.7,60.9,83.8,73.8,72.5,66.6,54.2,64.5,7.2,8187.1636,9.0103,6576.0,8217.0,86.21,False,98.1818
GOA,73.7,82.9,78.3,9.2,78.1,68.3,,,71.5,76.6,89.0,91.2,88.3,80.9,58.2,82.8,10.3,8120.2449,9.0021,7367.0,8734.0,88.7,False,55.102
GUJARAT,30.8,58.9,44.85,28.1,48.9,17.5,22.2,25.1,33.8,45.6,72.9,48.8,70.0,47.9,33.0,48.6,0.9,4993.7293,8.5159,3798.0,6621.0,78.03,False,42.3567
HARYANA,48.4,72.4,60.4,24.0,60.2,42.8,24.3,30.9,49.5,62.2,73.8,50.4,73.6,50.5,45.8,45.6,-0.1,5841.2529,8.6727,4859.0,7911.0,75.55,False,32.1839
HIMACHAL PRADESH,49.7,67.9,58.8,18.2,78.9,45.2,24.6,33.5,65.9,71.3,81.0,79.5,83.1,73.9,59.4,68.8,5.6,5896.6973,8.6821,5561.0,8075.0,82.8,False,13.3531
JAMMU AND KASHMIR,43.5865,71.9081,57.7473,28.3216,55.2515,39.2302,12.6,21.8,51.2716,68.2984,70.0541,75.3312,84.9765,54.2784,37.264,60.3477,21.0529,4804.0546,8.4772,4290.2917,6179.7874,67.16,False,27.1905
JHARKHAND,31.4,58.0,44.7,26.6,57.8,22.7,8.2,12.4,33.2,46.6,64.5,49.0,79.6,35.2,28.7,45.1,13.8,3300.3675,8.1018,2763.0,4931.0,66.41,False,24.7863
KARNATAKA,35.0,62.4,48.7,27.4,50.1,24.8,19.3,21.4,50.2,56.5,73.0,61.8,88.7,47.1,45.5,59.4,14.7,5714.9368,8.6508,4397.0,7666.0,75.36,False,40.3162
KERALA,61.1,76.1,68.6,15.0,64.9,57.5,41.5,43.9,77.0,73.3,95.5,86.6,78.5,81.2,72.2,70.6,5.4,6485.4054,8.7773,5924.0,7078.0,94.0,False,48.6486
MADHYA PRADESH,26.9,55.7,41.3,28.8,46.5,20.1,9.6,13.5,29.3,39.9,67.5,38.5,74.7,28.7,23.2,37.3,9.8,3595.697,8.1875,3113.0,4987.0,69.32,False,25.7576
MAHARASHTRA,38.0,61.5,49.75,23.5,54.3,23.7,24.4,28.8,50.4,61.0,79.6,54.8,72.8,45.6,42.0,45.3,9.2,5246.9967,8.5654,4010.0,6657.0,82.34,False,46.732
MANIPUR,44.8,73.9,59.35,29.1,50.8,40.4,,,48.1,58.7,84.0,72.2,74.0,63.1,45.9,34.8,9.1,4580.0,8.4295,4360.0,4880.0,76.94,False,42.3077
MEGHALAYA,34.7,42.1,38.4,7.4,57.8,28.0,,,35.1,34.7,85.9,67.5,70.4,64.3,33.6,54.4,3.2,4170.2852,8.3357,3514.0,6433.0,74.43,False,22.4832
MIZORAM,67.6,79.7,73.65,12.1,83.8,48.0,,,50.0,49.1,93.2,82.3,80.7,77.0,39.9,57.1,5.3,6554.9385,8.788,5224.0,7655.0,91.33,False,54.7486
NAGALAND,49.9,64.6,57.25,14.7,66.5,40.3,,,44.4,53.1,85.2,82.5,63.7,70.4,33.3,38.8,12.1,5384.145,8.5912,4393.0,7098.0,79.55,False,36.6412
