state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000
ANDAMAN AND NICOBAR ISLANDS,2018,69.0,115.0,45326.0,601404.0,4683.0,1843.0,178709.0,265.8,395.0
ANDAMAN AND NICOBAR ISLANDS,2019,69.0,105.0,47929.0,615681.0,5186.0,2181.0,204254.0,269.5,397.0
ANDAMAN AND NICOBAR ISLANDS,2020,71.0,120.0,50461.0,624585.0,5811.0,2561.0,219653.0,273.2,399.0
ANDAMAN AND NICOBAR ISLANDS,2021,72.0,128.0,58904.0,583380.0,6043.0,2812.0,205368.0,276.3,400.0
ANDAMAN AND NICOBAR ISLANDS,2022,72.0,123.0,94580.0,608150.0,6773.0,3462.0,229570.0,279.6,402.0
ANDAMAN AND NICOBAR ISLANDS,2023,70.0,124.0,74253.0,643072.0,7122.0,3705.0,263984.0,282.3,403.0
ANDHRA PRADESH,2018,6958.0,10436.0,12884824.0,91175427.0,274566.0,309165.0,138299.0,38053.8,51938.0
ANDHRA PRADESH,2019,7087.0,10556.0,14465301.0,91670674.0,300452.0,373572.0,154031.0,38539.8,52221.0
ANDHRA PRADESH,2020,7252.0,11049.0,15114394.0,92229340.0,324873.0,418830.0,160341.0,39028.9,52504.0
ANDHRA PRADESH,2021,7431.0,11635.0,16651870.0,95917846.0,359770.0,486536.0,168063.0,39521.0,52787.0
ANDHRA PRADESH,2022,7446.0,12101.0,18331300.0,98507220.0,385881.0,550560.0,193703.0,39880.6,52972.0
ANDHRA PRADESH,2023,7663.0,12393.0,20317775.0,100356722.0,429719.0,641272.0,219917.0,40240.9,53156.0
ARUNACHAL PRADESH,2018,154.0,248.0,104518.0,1546379.0,13449.0,3362.0,138836.0,1010.4,1489.0
ARUNACHAL PRADESH,2019,155.0,207.0,91622.0,1548936.0,16659.0,3869.0,155103.0,1034.1,1504.0
ARUNACHAL PRADESH,2020,164.0,249.0,114234.0,1668551.0,17171.0,4338.0,182171.0,1058.1,1519.0
ARUNACHAL PRADESH,2021,169.0,254.0,130083.0,1603533.0,19525.0,5897.0,181537.0,1081.7,1533.0
ARUNACHAL PRADESH,2022,172.0,274.0,135606.0,1946181.0,24121.0,6053.0,190851.0,1103.9,1548.0
ARUNACHAL PRADESH,2023,187.0,283.0,148780.0,2093419.0,26656.0,7510.0,204469.0,1125.5,1562.0
ASSAM,2018,2374.0,3805.0,4115926.0,42720628.0,134287.0,57186.0,75151.0,22232.7,33918.0
ASSAM,2019,2404.0,3700.0,4565307.0,41005351.0,147091.0,67360.0,81034.0,22702.9,34293.0
ASSAM,2020,2957.0,3926.0,5328692.0,44199128.0,164299.0,72954.0,90123.0,23178.0,34668.0
ASSAM,2021,3020.0,4218.0,6014883.0,47975276.0,173014.0,83235.0,86947.0,23658.0,35043.0
ASSAM,2022,3043.0,4426.0,5531837.0,51977238.0,189483.0,95992.0,103371.0,24096.3,35378.0
ASSAM,2023,3085.0,4670.0,5233473.0,56882605.0,207312.0,112374.0,121573.0,24538.6,35713.0
BIHAR,2018,6729.0,7949.0,8348492.0,114165114.0,314811.0,101253.0,36850.0,67629.3,117739.0
BIHAR,2019,6917.0,7733.0,10079827.0,125866480.0,353169.0,124996.0,40715.0,69542.5,119520.0
BIHAR,2020,7463.0,8235.0,12646671.0,134966208.0,375707.0,139590.0,44175.0,71482.8,121302.0
BIHAR,2021,7584.0,8550.0,13722593.0,142163767.0,397492.0,163964.0,42128.0,73449.0,123083.0
BIHAR,2022,7640.0,9284.0,14316914.0,153926494.0,442417.0,195592.0,47296.0,75318.8,124919.0
BIHAR,2023,7832.0,9680.0,16096444.0,158631066.0,478429.0,231859.0,54637.0,77212.0,126756.0
CHANDIGARH,2018,442.0,648.0,388232.0,4254424.0,61928.0,69673.0,280512.0,783.9,1165.0
CHANDIGARH,2019,442.0,707.0,573780.0,4185926.0,68300.0,77956.0,307812.0,800.3,1179.0
CHANDIGARH,2020,454.0,667.0,689948.0,4354455.0,72552.0,78002.0,330703.0,816.9,1193.0
CHANDIGARH,2021,442.0,736.0,722264.0,4275328.0,81320.0,80793.0,290417.0,834.3,1208.0
CHANDIGARH,2022,438.0,755.0,688165.0,4526153.0,89738.0,82007.0,337406.0,847.9,1219.0
CHANDIGARH,2023,449.0,744.0,719278.0,6633819.0,99918.0,77839.0,408512.0,862.4,1231.0
