panel,side,dependent,label,status,regressor,coef,se,p,ci_lo,ci_hi,N,r2_within
A,Access,norm_deposit_accts_per_adult,deposit accounts / adult,ENTANGLED,branches_per_lakh_adults,0.0018239845198873533,0.010454335181378721,0.8617793938155971,-0.018868073236938163,0.022516042276712868,165,0.2307612791837037
A,Access,norm_deposit_accts_per_adult,deposit accounts / adult,ENTANGLED,atms_per_lakh_adults,-0.011457781685291967,0.007989785120941263,0.15407388312784298,-0.027271804511116327,0.004356241140532393,165,0.2307612791837037
A,Access,norm_deposit_accts_per_adult,deposit accounts / adult,ENTANGLED,pp_users_per_adult,0.19258223271167235,0.1513501065302117,0.2056016436403214,-0.10698202378960225,0.49214648921294696,165,0.2307612791837037
A,Access,norm_deposit_accts_per_adult,deposit accounts / adult,ENTANGLED,ln_nsdp_pc,-0.022252148049225356,0.034441848945564305,0.5194222379241962,-0.09042221484628868,0.04591791874783796,165,0.2307612791837037
A,Access,norm_credit_accts_per_adult,credit accounts / adult,clean,branches_per_lakh_adults,0.009069698765656524,0.005224530257006176,0.08505066044295106,-0.0012711100906362526,0.019410507621949298,165,0.5168086550883648
A,Access,norm_credit_accts_per_adult,credit accounts / adult,clean,atms_per_lakh_adults,-0.0006977548121623272,0.0024147543700170923,0.773098502100507,-0.005477230123221841,0.004081720498897187,165,0.5168086550883648
A,Access,norm_credit_accts_per_adult,credit accounts / adult,clean,pp_users_per_adult,0.438983799384108,0.11111709503446879,0.0001299780352634894,0.21905194256749183,0.6589156562007241,165,0.5168086550883648
A,Access,norm_credit_accts_per_adult,credit accounts / adult,clean,ln_nsdp_pc,0.041249962806104074,0.02843328228185971,0.14937077581867841,-0.01502746746419397,0.09752739307640212,165,0.5168086550883648
A,Usage,norm_deposits_per_capita,deposits Rs / capita,clean,branches_per_lakh_adults,-0.015059623736057001,0.00642161405160938,0.02060776831537492,-0.02776979674491779,-0.0023494507271962124,165,0.7946913280565153
A,Usage,norm_deposits_per_capita,deposits Rs / capita,clean,atms_per_lakh_adults,-0.0015997226219940017,0.0018314921067053873,0.38410449342133557,-0.005224758532514712,0.0020253132885267085,165,0.7946913280565153
A,Usage,norm_deposits_per_capita,deposits Rs / capita,clean,pp_users_per_adult,0.221794637375279,0.04843101640068885,1.117187323029789e-05,0.12593608958643193,0.31765318516412605,165,0.7946913280565153
A,Usage,norm_deposits_per_capita,deposits Rs / capita,clean,ln_nsdp_pc,-0.012870653333848106,0.013406489825147805,0.3389075659484009,-0.03940585207822846,0.013664545410532242,165,0.7946913280565153
A,Usage,norm_credit_per_capita,credit Rs / capita,clean,branches_per_lakh_adults,0.0026837206929226512,0.0018529652600951776,0.15004634518760285,-0.0009838166031432777,0.00635125798898858,165,0.6386458625532923
A,Usage,norm_credit_per_capita,credit Rs / capita,clean,atms_per_lakh_adults,0.0011911675489966961,0.0007440836844685564,0.11195446161814582,-0.00028158249276199836,0.002663917590755391,165,0.6386458625532923
A,Usage,norm_credit_per_capita,credit Rs / capita,clean,pp_users_per_adult,0.14481400847424958,0.019770070335794476,2.6616486792363503e-11,0.1056835013547321,0.18394451559376707,165,0.6386458625532923
A,Usage,norm_credit_per_capita,credit Rs / capita,clean,ln_nsdp_pc,0.005168109862437378,0.00669731260608763,0.44177847463486697,-0.008087747813478912,0.018423967538353667,165,0.6386458625532923
B,,Access_c,Access_c,,branches_per_lakh_adults,0.009069698765656524,0.005224530257006176,0.08505066044295106,-0.0012711100906362526,0.019410507621949298,165,0.5168086550883648
B,,Access_c,Access_c,,atms_per_lakh_adults,-0.0006977548121623272,0.0024147543700170923,0.773098502100507,-0.005477230123221841,0.004081720498897187,165,0.5168086550883648
B,,Access_c,Access_c,,pp_users_per_adult,0.438983799384108,0.11111709503446879,0.0001299780352634894,0.21905194256749183,0.6589156562007241,165,0.5168086550883648
B,,Access_c,Access_c,,ln_nsdp_pc,0.041249962806104074,0.02843328228185971,0.14937077581867841,-0.01502746746419397,0.09752739307640212,165,0.5168086550883648
B,,Usage,Usage,,branches_per_lakh_adults,-0.006187951521567191,0.002624644303438898,0.019956914011308502,-0.011382857804524003,-0.0009930452386103803,165,0.8633214648185774
B,,Usage,Usage,,atms_per_lakh_adults,-0.00020427753649864707,0.001225196481837459,0.8678537384561635,-0.002629284571933751,0.0022207294989364567,165,0.8633214648185774
B,,Usage,Usage,,pp_users_per_adult,0.1833043229247641,0.027576420509160912,8.488634239967041e-10,0.12872286212384756,0.23788578372568062,165,0.8633214648185774
B,,Usage,Usage,,ln_nsdp_pc,-0.0038512717357053914,0.006733348601964784,0.5683779123682351,-0.017178454741743385,0.009475911270332604,165,0.8633214648185774
B,,AUG_c,AUG_c,,branches_per_lakh_adults,0.015257650287223711,0.0063662408772080185,0.01803901089326465,0.002657076301448829,0.027858224272998593,165,0.19542678222733045
B,,AUG_c,AUG_c,,atms_per_lakh_adults,-0.000493477275663682,0.003369268258778711,0.8837927756300663,-0.007162202947772246,0.0061752483964448825,165,0.19542678222733045
B,,AUG_c,AUG_c,,pp_users_per_adult,0.2556794764593437,0.10882491424457745,0.02038100198522952,0.040284487503823074,0.4710744654148643,165,0.19542678222733045
B,,AUG_c,AUG_c,,ln_nsdp_pc,0.0451012345418095,0.030157221734349482,0.1373151454913728,-0.014588354809032214,0.10479082389265121,165,0.19542678222733045
