dropped,coef,p,change
(none),0.438983799384108,0.0001299780352634894,0.0
ANDAMAN AND NICOBAR ISLANDS,0.42448514399678144,0.00021537459904119594,-0.014498655387326531
ANDHRA PRADESH,0.4344999118760085,0.0002679999755847984,-0.004483887508099471
ARUNACHAL PRADESH,0.45210194451415925,0.00015162589074080302,0.013118145130051273
ASSAM,0.43050812926510995,0.0001441492902731767,-0.008475670118998024
BIHAR,0.44002449735352184,0.00013083685931425393,0.0010406979694138618
CHANDIGARH,0.4293870183434607,0.00015330396932622392,-0.009596781040647262
CHHATTISGARH,0.4384717804848324,0.00013475823201991588,-0.0005120188992756014
DELHI,0.47731963017345214,0.00026273964830769714,0.03833583078934416
GOA,0.44855373934634407,0.00019549822964948227,0.009569939962236096
GUJARAT,0.43983866479281575,0.00012835903183683328,0.0008548654087077723
HARYANA,0.43687640022643187,0.0003485574234014521,-0.002107399157676104
HIMACHAL PRADESH,0.4377228091202975,0.0001345582837604109,-0.0012609902638104908
JAMMU AND KASHMIR,0.4447792352812545,5.3753757342622777e-05,0.005795435897146539
JHARKHAND,0.4445280409842296,0.00011428572439675655,0.005544241600121624
KARNATAKA,0.46236857509289103,0.0004773939694242557,0.023384775708783057
KERALA,0.4407458314548267,0.00013058620258377118,0.0017620320707187331
MADHYA PRADESH,0.4392998969950891,0.00013602599904838364,0.0003160976109811142
MAHARASHTRA,0.3560735154085026,1.6997141472074873e-09,-0.08291028397560535
MANIPUR,0.4515926765494314,0.00010195441533711325,0.01260887716532344
MEGHALAYA,0.43805117689120066,0.00034881910463635535,-0.0009326224929073201
MIZORAM,0.43650986328661545,0.00016039276097279398,-0.002473936097492524
NAGALAND,0.43747451995906184,0.0001736927186797299,-0.0015092794250461394
ODISHA,0.43913362262753325,0.00015075946695430886,0.0001498232434252733
PUDUCHERRY,0.4349875147031878,0.00014757037352786107,-0.00399628468092017
PUNJAB,0.45687796746855863,7.807329121045647e-05,0.017894168084450657
RAJASTHAN,0.44210267959807614,0.00018676303319775656,0.003118880213968167
SIKKIM,0.45052783851955136,0.0002842316935043332,0.011544039135443385
TAMIL NADU,0.4289918930040803,0.00020877782492756403,-0.00999190638002767
TELANGANA,0.4655763458542071,0.0034395772522919366,0.02659254647009912
TRIPURA,0.42442809022046785,0.0001682616738842846,-0.01455570916364013
UTTAR PRADESH,0.43478328251139314,0.00015001339205333863,-0.004200516872714832
UTTARAKHAND,0.44007762297196384,0.00013483418431636807,0.0010938235878558689
WEST BENGAL,0.4370837116293627,0.00013169222656528312,-0.001900087754745261
