variable,column,N,mean,sd,min,p25,median,p75,max
IV       Branches per lakh adults,branches_per_lakh_adults,198,21.56117313134939,11.454797216265623,8.584308459620182,14.087631734035046,19.348113602658355,25.403770038954626,66.67942217545203
IV       ATMs per lakh adults,atms_per_lakh_adults,198,32.72294088411557,18.92528482195363,11.119818815832046,19.431038225023094,28.26959007938011,38.97306634023469,100.1747233546884
Access   Deposit accounts per adult,deposit_accts_per_adult,198,2.4848457180489567,1.0426312007833463,0.9920980134283934,1.9794613977742246,2.3048596763873066,2.6671343718300022,7.989811010682005
Access   Credit accounts per adult,credit_accts_per_adult,198,0.30548569073853554,0.17810560761441294,0.0795971609437943,0.17503143522474798,0.23796159131306283,0.4128914017083609,0.8657125734148388
Usage    Deposits per capita (Rs),deposits_per_capita,198,152975.18612969137,158830.07100389447,26738.039222347736,63839.25252050976,109625.78084864008,157447.29672688263,811681.5597075549
Usage    Credit per capita (Rs),credit_per_capita,198,102750.54460868625,148539.54253773447,8599.784268594094,31919.07331549573,51389.43018160264,107221.82507355176,719128.2363406527
DV1      Access (0-1 composite),Access,198,0.2503335804504098,0.1724016259134558,0.0095381543195842,0.1356434650466209,0.1999710457422687,0.329804798857784,0.95859698294888
DV2      Usage (0-1 composite),Usage,198,0.14666565110168137,0.20022137663404574,0.0,0.04140146079519285,0.0869380871586453,0.14689586541528826,0.9776910445296224
Derived  AUG = Access - Usage,AUG,198,0.10366792934872839,0.12849558170013714,-0.4587302007238424,0.062402341924303224,0.10384893270691364,0.15316473422748017,0.422465603078112
Control  ln(NSDP per capita),ln_nsdp_pc,198,11.971525640317937,0.541469607794179,10.514610897617482,11.55308605561559,12.064180678243567,12.30092930471871,13.186002744423966
