spec,equation,dependent,regressor,coef,se,t,p,ci_lo,ci_hi,N,r2_within
main,(1) Access,Access,branches_per_lakh_adults,-0.008973533972074196,0.006990544664848542,-1.283667353875439,0.2011497098321291,-0.022781182038085917,0.004834114093937525,198,0.06890466500837122
main,(1) Access,Access,atms_per_lakh_adults,-0.0016386720567893522,0.003771118060169443,-0.43453215482618,0.6644986858667639,-0.009087343581918452,0.005809999468339749,198,0.06890466500837122
main,(1) Access,Access,ln_nsdp_pc,0.023401382453137262,0.0434174953298046,0.5389850859746169,0.590660608856326,-0.062356383810221294,0.10915914871649582,198,0.06890466500837122
main,(2) Usage,Usage,branches_per_lakh_adults,-0.012638610970256299,0.0036332741593896904,-3.4785734342655017,0.0006524698460679268,-0.019815014716369025,-0.005462207224143571,198,0.04152382034016544
main,(2) Usage,Usage,atms_per_lakh_adults,-0.0010931188532833157,0.0026272102309901923,-0.41607589693015185,0.6779226667824845,-0.006282356030659091,0.0040961183240924605,198,0.04152382034016544
main,(2) Usage,Usage,ln_nsdp_pc,-0.0039551719851109125,0.015019502707748288,-0.2633357483314352,0.7926370978596502,-0.03362153096825485,0.02571118699803302,198,0.04152382034016544
main,(3) AUG,AUG,branches_per_lakh_adults,0.003665076998182104,0.005581987851366592,0.6565899274189236,0.5124058644252787,-0.007360404914262373,0.014690558910626582,198,0.1110373140806058
main,(3) AUG,AUG,atms_per_lakh_adults,-0.0005455532035060312,0.0015869837621111695,-0.34376735070072806,0.7314812064524232,-0.003680146332406532,0.0025890399253944694,198,0.1110373140806058
main,(3) AUG,AUG,ln_nsdp_pc,0.027356554438248096,0.03352291516708105,0.8160553550280669,0.4157048780025616,-0.03885754431450629,0.09357065319100248,198,0.1110373140806058
d7_trimmed,(1) Access,Access,branches_per_lakh_adults,-0.005698067559554322,0.003209388103450457,-1.7754373655926037,0.07778810205852182,-0.012037851517671738,0.0006417163985630936,196,0.18074052769331328
d7_trimmed,(1) Access,Access,atms_per_lakh_adults,0.003305283034794662,0.0011460674811497379,2.88402130691187,0.004485270450881762,0.001041356081210719,0.005569209988378605,196,0.18074052769331328
d7_trimmed,(1) Access,Access,ln_nsdp_pc,0.02508521514309608,0.029865511317169507,0.8399392488778432,0.4022361557434777,-0.03391073157522147,0.08408116186141362,196,0.18074052769331328
d7_trimmed,(2) Usage,Usage,branches_per_lakh_adults,-0.011852806454866157,0.0032353748138196055,-3.663503345651943,0.00034100921596547096,-0.018243924226225245,-0.00546168868350707,196,0.03963238198603691
d7_trimmed,(2) Usage,Usage,atms_per_lakh_adults,0.0001114695736353511,0.002069107278408965,0.05387326930726635,0.9571055076509061,-0.003975818316906191,0.004198757464176894,196,0.03963238198603691
d7_trimmed,(2) Usage,Usage,ln_nsdp_pc,-0.0035153236710266157,0.01251247596008274,-0.280945488506127,0.7791268809591445,-0.028232307660210558,0.021201660318157324,196,0.03963238198603691
d7_trimmed,(3) AUG,AUG,branches_per_lakh_adults,0.006154738895311835,0.003695010887255242,1.6656889744332386,0.0977951854306589,-0.0011443380604807133,0.013453815851104382,196,0.27044415283632817
d7_trimmed,(3) AUG,AUG,atms_per_lakh_adults,0.003193813461159311,0.0021985668605694875,1.4526797062391945,0.14833410780589995,-0.0011492072219739008,0.007536834144292523,196,0.27044415283632817
d7_trimmed,(3) AUG,AUG,ln_nsdp_pc,0.02860053881412263,0.024349688731104484,1.174575130300868,0.24196610394886586,-0.019499522950498924,0.07670060057874419,196,0.27044415283632817
