spec,equation,dependent,regressor,coef,se,t,p,ci_lo,ci_hi,N,r2_within
long_12yr,(1) Access,Access,branches_per_lakh_adults,-0.004825672026985978,0.006449238391564825,-0.7482545587549743,0.45482541475794847,-0.017511236625925318,0.007859892571953363,384,-0.17174803998256705
long_12yr,(1) Access,Access,ln_nsdp_pc,-0.004984633502411988,0.04543105953369119,-0.10971862759915245,0.9126974473663885,-0.0943469125068112,0.08437764550198722,384,-0.17174803998256705
long_12yr,(2) Usage,Usage,branches_per_lakh_adults,-0.010318102162443915,0.005695334479078407,-1.8116762413774061,0.07092104179169278,-0.02152074797274796,0.0008845436478601282,384,-0.4775615613726758
long_12yr,(2) Usage,Usage,ln_nsdp_pc,-0.007993473456352075,0.03758107909559378,-0.21269941280875237,0.8316892666532119,-0.08191494722115264,0.06592800030844848,384,-0.4775615613726758
long_12yr,(3) AUG,AUG,branches_per_lakh_adults,0.0054924301354579395,0.003849466543561782,1.4268029279651768,0.15455705980957912,-0.0020794184371857073,0.013064278708101586,384,0.21531910635224438
long_12yr,(3) AUG,AUG,ln_nsdp_pc,0.0030088399539400577,0.033572916369045254,0.08962104813492623,0.9286412824843864,-0.0630286319948949,0.069046311902775,384,0.21531910635224438
long_12yr_d7trim,(1) Access,Access,branches_per_lakh_adults,-0.0013705997201172342,0.004963968552057509,-0.27610967026556527,0.7826330776521842,-0.01113486626622186,0.008393666825987394,382,-0.07714156761510682
long_12yr_d7trim,(1) Access,Access,ln_nsdp_pc,-0.004430649290435006,0.040889419741281546,-0.10835686391415986,0.9137771029186856,-0.08486129446523949,0.07599999588436948,382,-0.07714156761510682
long_12yr_d7trim,(2) Usage,Usage,branches_per_lakh_adults,-0.008427808915359106,0.004914604705256678,-1.7148498039617903,0.08729206281657187,-0.01809497537856643,0.0012393575478482181,382,-0.4362100508268949
long_12yr_d7trim,(2) Usage,Usage,ln_nsdp_pc,-0.006875714166349555,0.03233480954942579,-0.21264124521406547,0.8317353616949323,-0.07047919912945592,0.05672777079675682,382,-0.4362100508268949
long_12yr_d7trim,(3) AUG,AUG,branches_per_lakh_adults,0.007057209195241878,0.00407233687551282,1.732963016315584,0.08401701575178255,-0.0009531926235924904,0.015067611014076247,382,0.26930566240060017
long_12yr_d7trim,(3) AUG,AUG,ln_nsdp_pc,0.002445064875914533,0.03497462904618396,0.06990967288561739,0.9443070190841474,-0.06635101970373589,0.07124114945556495,382,0.26930566240060017
