state_key,fy_end,branches,atms,credit_accounts,deposit_accounts,deposits_rs_crore,credit_rs_crore,nsdp_pc_rs,pop_18plus_000,pop_total_000,branches_per_lakh_adults,atms_per_lakh_adults,deposit_accts_per_adult,credit_accts_per_adult,deposits_per_capita,credit_per_capita,norm_deposit_accts_per_adult,norm_credit_accts_per_adult,norm_deposits_per_capita,norm_credit_per_capita,Access,Usage,AUG,ln_nsdp_pc,txn_count,txn_amount_inr,txn_count_p2p,txn_count_retail,txn_count_utility,registered_users_31mar,pp_users_per_adult,pp_txns_per_capita,pp_value_per_capita,pp_value_to_nsdp,pp_ticket_size_rs,ln_pp_users_per_adult,ln_pp_txns_per_capita,ln_pp_value_per_capita,diglit_w,diglit_m,diglit_both,diglit_gap,diglit_w_urban,diglit_w_rural,nss75_computer,nss75_internet,schooling_w,schooling_m,everschool_w,mobile_w,bankacct_w,mobile_w_2016,schooling_w_2016,bankacct_w_2016,mobile_w_change,mpce,ln_mpce,mpce_rural,mpce_urban,lit2011,lit2011_undivided_ap,urban_share_nfhs,income_s,z_diglit_w,z_diglit_m,z_diglit_both,z_diglit_gap,z_nss75_computer,z_nss75_internet,z_mobile_w,z_income_s,z_ln_mpce,z_mobile_w_2016,z_mobile_w_change,z_schooling_w,z_schooling_m,z_everschool_w,z_lit2011,z_urban_share_nfhs,z_schooling_w_2016,z_bankacct_w_2016,c_upi,upi_x_diglit_w,upi_x_diglit_m,upi_x_diglit_both,upi_x_diglit_gap,upi_x_nss75_computer,upi_x_nss75_internet,upi_x_mobile_w,upi_x_income_s,upi_x_ln_mpce,upi_x_mobile_w_2016,upi_x_mobile_w_change,upi_x_schooling_w,upi_x_schooling_m,upi_x_everschool_w,upi_x_lit2011,upi_x_urban_share_nfhs,upi_x_schooling_w_2016,upi_x_bankacct_w_2016,diglit_tercile,upi_x_T2_mid,upi_x_T3_high,income_tercile,upi_x_incT2_mid,upi_x_incT3_high
ANDAMAN AND NICOBAR ISLANDS,2019,69.0,105.0,47929.0,615681.0,5186.0,2181.0,204254.0,269.5,397.0,25.60296846011132,38.961038961038966,2.284530612244898,0.1778441558441558,130629.72292191436,54937.02770780856,0.1846935705027835,0.1249778255733922,0.1323556166631539,0.0652151835779197,0.1548356980380879,0.0987854001205368,0.056050297917551,12.227119596373818,108081,337196488.12155986,39674,66597,1810.0,24369.0,0.0904230055658627,0.2722443324937028,849.3614310366747,0.0041583588621847,3119.849817466158,-2.403256557612125,-1.3010553346724247,6.744484809545043,34.8,46.5,40.65,11.7,44.1,27.9,,,52.5,52.3,83.5,80.8,89.2,66.9,49.1,81.8,13.9,8582.5185,9.0575,7332.0,10268.0,86.63,False,42.5926,12.317417944328747,-0.47650725595549553,-1.287474887486236,-0.8652339956026812,-1.3131875060298428,,,1.0924317419800864,0.5933837550178113,1.4151977144446686,0.7686970420721857,0.9262583748594659,0.48371276280910314,-0.08778110949545376,0.7232301104598766,1.1483292573400756,0.23386685419908168,0.6666435102980908,1.8406723178237658,-0.21038581633464842,0.10025036803358019,0.2708664552141514,0.1820329604853597,0.2762760254565495,,,-0.2298321438263625,-0.12483952569914125,-0.29773752642837026,-0.16172295471038636,-0.19487162433161354,-0.10176630447508132,0.018467900379962196,-0.1521573571868991,-0.24159218822645237,-0.04920226903429,-0.14025233911825943,-0.3872513481899424,T2_mid,-0.21038581633464842,-0.0,T3_high,-0.0,-0.21038581633464842
ANDAMAN AND NICOBAR ISLANDS,2020,71.0,120.0,50461.0,624585.0,5811.0,2561.0,219653.0,273.2,399.0,25.98828696925329,43.92386530014641,2.286182284040996,0.184703513909224,145639.09774436092,64185.46365914787,0.1849296007310518,0.1337034630004803,0.1514772151358296,0.0782314617077663,0.1593165318657661,0.1148543384217979,0.0444621934439681,12.299804307403074,178156,666651105.5522575,75046,90923,12187.0,36875.0,0.1349743777452415,0.4465062656641604,1670.8047758201944,0.0076065647900105,3741.951466985437,-2.002670313036651,-0.8063018459215782,7.421060691022212,34.8,46.5,40.65,11.7,44.1,27.9,,,52.5,52.3,83.5,80.8,89.2,66.9,49.1,81.8,13.9,8582.5185,9.0575,7332.0,10268.0,86.63,False,42.5926,12.317417944328747,-0.47650725595549553,-1.287474887486236,-0.8652339956026812,-1.3131875060298428,,,1.0924317419800864,0.5933837550178113,1.4151977144446686,0.7686970420721857,0.9262583748594659,0.48371276280910314,-0.08778110949545376,0.7232301104598766,1.1483292573400756,0.23386685419908168,0.6666435102980908,1.8406723178237658,-0.16583444415526963,0.0790213159273324,0.21350768233014827,0.14348559872501365,0.21777172013410376,,,-0.18116281070884055,-0.09840346518414542,-0.2346885263447396,-0.12747644669584082,-0.15360554273898291,-0.08021623715125739,0.014557131500511435,-0.1199364633644679,-0.19043254409822502,-0.0387831797724462,-0.11055245598000164,-0.305246870698296,T2_mid,-0.16583444415526963,-0.0,T3_high,-0.0,-0.16583444415526963
ANDAMAN AND NICOBAR ISLANDS,2021,72.0,128.0,58904.0,583380.0,6043.0,2812.0,205368.0,276.3,400.0,26.058631921824105,46.32645674990952,2.111400651465798,0.2131885631559898,151075.0,70300.0,0.1599526357363751,0.1699386630676398,0.1584024296433382,0.0868370795729212,0.1649456494020074,0.1226197546081297,0.0423258947938777,12.232558770766,810949,2283943594.9079094,298875,339251,172823.0,69111.0,0.2501302931596091,2.0273725,5709.858987269774,0.0278030607848826,2816.3837613806904,-1.385773324244745,0.7067406197033087,8.64994960659551,34.8,46.5,40.65,11.7,44.1,27.9,,,52.5,52.3,83.5,80.8,89.2,66.9,49.1,81.8,13.9,8582.5185,9.0575,7332.0,10268.0,86.63,False,42.5926,12.317417944328747,-0.47650725595549553,-1.287474887486236,-0.8652339956026812,-1.3131875060298428,,,1.0924317419800864,0.5933837550178113,1.4151977144446686,0.7686970420721857,0.9262583748594659,0.48371276280910314,-0.08778110949545376,0.7232301104598766,1.1483292573400756,0.23386685419908168,0.6666435102980908,1.8406723178237658,-0.05067852874090201,0.02414868666618893,0.06524733308866079,0.04384878591375596,0.06655041076652682,,,-0.05536283343341145,-0.030071815683054504,-0.07172013804554296,-0.03895643513970162,-0.04694141167181663,-0.024513851152362248,0.004448617480473619,-0.03665223793922659,-0.058195637272127676,-0.0118520280920725,-0.0337845122965776,-0.09328256496141443,T2_mid,-0.05067852874090201,-0.0,T3_high,-0.0,-0.05067852874090201
ANDAMAN AND NICOBAR ISLANDS,2022,72.0,123.0,94580.0,608150.0,6773.0,3462.0,229570.0,279.6,402.0,25.751072961373392,43.99141630901288,2.1750715307582262,0.3382689556509299,168482.58706467663,86119.40298507463,0.1690514483509274,0.3290506592334028,0.1805792953800173,0.109101357574656,0.2490510537921651,0.1448403264773367,0.1042107273148284,12.343963272869615,2766636,7102150179.306252,1096489,948661,721486.0,102605.0,0.3669706723891273,6.882179104477612,17667.040247030476,0.0769570947729689,2567.0706877616904,-1.0024733458669275,1.9289353320987772,9.779456049700904,34.8,46.5,40.65,11.7,44.1,27.9,,,52.5,52.3,83.5,80.8,89.2,66.9,49.1,81.8,13.9,8582.5185,9.0575,7332.0,10268.0,86.63,False,42.5926,12.317417944328747,-0.47650725595549553,-1.287474887486236,-0.8652339956026812,-1.3131875060298428,,,1.0924317419800864,0.5933837550178113,1.4151977144446686,0.7686970420721857,0.9262583748594659,0.48371276280910314,-0.08778110949545376,0.7232301104598766,1.1483292573400756,0.23386685419908168,0.6666435102980908,1.8406723178237658,0.06616185048861617,-0.03152660182526825,-0.08518172101371227,-0.057245482254732576,-0.08688291543746521,,,0.072277305581905,0.03925936728186207,0.09363209959491949,0.05085841876862145,0.061282968111280575,0.03200333149241134,-0.005807760642163057,0.047850242437111716,0.07597558863583773,0.01547306384176264,0.04410636825754854,0.12178228669039058,T2_mid,0.06616185048861617,0.0,T3_high,0.0,0.06616185048861617
ANDAMAN AND NICOBAR ISLANDS,2023,70.0,124.0,74253.0,643072.0,7122.0,3705.0,263984.0,282.3,403.0,24.79631597591215,43.92490258590152,2.2779737867516827,0.263028692879915,176724.5657568238,91935.48387096774,0.1837565750164312,0.2333391878929445,0.1910793867586332,0.1172869282846425,0.2085478814546879,0.1541831575216379,0.0543647239330499,12.483643774231226,8009579,15926618316.085451,2941580,3879828,1188171.0,134328.0,0.4758342189160467,19.874885856079405,39520.14470492668,0.1497065909484161,1988.446373534171,-0.7426857650022755,2.9894569174335595,10.58456581341701,34.8,46.5,40.65,11.7,44.1,27.9,,,52.5,52.3,83.5,80.8,89.2,66.9,49.1,81.8,13.9,8582.5185,9.0575,7332.0,10268.0,86.63,False,42.5926,12.317417944328747,-0.47650725595549553,-1.287474887486236,-0.8652339956026812,-1.3131875060298428,,,1.0924317419800864,0.5933837550178113,1.4151977144446686,0.7686970420721857,0.9262583748594659,0.48371276280910314,-0.08778110949545376,0.7232301104598766,1.1483292573400756,0.23386685419908168,0.6666435102980908,1.8406723178237658,0.1750253970155356,-0.08340087165439404,-0.2253408033298105,-0.15143792359169747,-0.2298411645987143,,,0.19120329935243777,0.10385722730456173,0.2476955418261567,0.13454150497335218,0.16211873979874283,0.08466201835214487,-0.015363923539905996,0.12658363721682958,0.2009867841705019,0.04093263900496865,0.11667954505775363,0.32216440320261075,T2_mid,0.1750253970155356,0.0,T3_high,0.0,0.1750253970155356
ANDHRA PRADESH,2019,7087.0,10556.0,14465301.0,91670674.0,300452.0,373572.0,154031.0,38539.8,52221.0,18.388782505358098,27.38986709842812,2.378597553697736,0.3753340961810907,57534.70825912947,71536.73809387028,0.1981360968667193,0.376200403332239,0.0392342483669971,0.0885776686939672,0.2871682500994791,0.0639059585304822,0.2232622915689969,11.9449091598392,147663871,222629544072.1353,86306754,53823135,7533982.0,7399826.0,0.1920047846641653,2.8276722199881275,4263.218706499977,0.0276776668754989,1507.6778264341676,-1.6502349871389954,1.0394538360792165,8.357779718874047,21.0,48.8,34.9,27.8,33.9,15.4,14.4,17.1,39.6,47.9,65.6,48.9,81.8,36.2,34.3,66.3,12.7,5448.7676,8.6031,4870.0,6782.0,67.02,True,30.2703,12.087429648563806,-1.301336368669879,-1.1208343790072344,-1.251765353578609,0.8447150960655789,-0.45288430290550924,-0.5872040024928057,-1.0039377467375314,0.1554256290400406,0.03712789473710274,-1.2102717701183805,0.6896861871536986,-0.48746149086557095,-0.4438254326702288,-1.236944530350753,-1.1585602354190057,-0.37082410517740155,-0.4590417101778784,0.6943872333760125,-0.10880403723634582,0.14159065071376856,0.12195130550927967,0.13619712414193458,-0.09190841276642268,0.049275640557087545,0.06389016615255853,0.1092324799790035,-0.01691093592955505,-0.004039664841482855,0.13168245474205845,-0.0750406415884644,0.05303777820342223,0.04828999890268887,0.13458455873957761,0.1260560309950791,0.04034715974785662,0.049945591327229755,-0.07555213439668682,T1_low,-0.0,-0.0,T2_mid,-0.10880403723634582,-0.0
ANDHRA PRADESH,2020,7252.0,11049.0,15114394.0,92229340.0,324873.0,418830.0,160341.0,39028.9,52504.0,18.581102721316768,28.30979094978337,2.363103751322738,0.3872615933321205,61875.85707755599,79771.06506170958,0.1959219731407136,0.3913731082071344,0.0447647721628278,0.1001666866197465,0.293647540673924,0.0724657293912871,0.2211818112826368,11.985058076324409,456224368,904711355337.2408,251058314,175099458,30066596.0,11664133.0,0.2988588712466915,8.689325918025293,17231.284384756225,0.107466489449088,1983.0404046660676,-1.2077838195391304,2.1620953664211124,9.754481870258326,21.0,48.8,34.9,27.8,33.9,15.4,14.4,17.1,39.6,47.9,65.6,48.9,81.8,36.2,34.3,66.3,12.7,5448.7676,8.6031,4870.0,6782.0,67.02,True,30.2703,12.087429648563806,-1.301336368669879,-1.1208343790072344,-1.251765353578609,0.8447150960655789,-0.45288430290550924,-0.5872040024928057,-1.0039377467375314,0.1554256290400406,0.03712789473710274,-1.2102717701183805,0.6896861871536986,-0.48746149086557095,-0.4438254326702288,-1.236944530350753,-1.1585602354190057,-0.37082410517740155,-0.4590417101778784,0.6943872333760125,-0.0019499506538195877,0.002537541702927038,0.002185571730168628,0.002440880669639316,-0.0016471527538643514,0.0008831020425552259,0.0011450188285863252,0.001957629065645013,-0.00030307230696694783,-7.239756261755831e-05,0.002359970229441726,-0.001344854031570693,0.000950525852825191,0.000865437692617074,0.0024119807956960136,0.0022591352885446654,0.0007230887063427376,0.0008951086828918157,-0.0013540208397255303,T1_low,-0.0,-0.0,T2_mid,-0.0019499506538195877,-0.0
ANDHRA PRADESH,2021,7431.0,11635.0,16651870.0,95917846.0,359770.0,486536.0,168063.0,39521.0,52787.0,18.80266187596468,29.440044533286105,2.4270095898383137,0.4213423243338984,68155.03817227726,92169.66298520468,0.205054362328532,0.4347264510638148,0.052764304525156,0.1176165127137446,0.3198904066961734,0.0851904086194503,0.234699998076723,12.032094188090468,1114327170,2554043032593.083,596523678,390253826,127549666.0,16309736.0,0.412685306545887,21.109878758027545,48383.93984490657,0.2878916825530103,2292.0046296574487,-0.8850699460900571,3.0497411185006547,10.786923216253598,21.0,48.8,34.9,27.8,33.9,15.4,14.4,17.1,39.6,47.9,65.6,48.9,81.8,36.2,34.3,66.3,12.7,5448.7676,8.6031,4870.0,6782.0,67.02,True,30.2703,12.087429648563806,-1.301336368669879,-1.1208343790072344,-1.251765353578609,0.8447150960655789,-0.45288430290550924,-0.5872040024928057,-1.0039377467375314,0.1554256290400406,0.03712789473710274,-1.2102717701183805,0.6896861871536986,-0.48746149086557095,-0.4438254326702288,-1.236944530350753,-1.1585602354190057,-0.37082410517740155,-0.4590417101778784,0.6943872333760125,0.11187648464537586,-0.1455889382679649,-0.12539501019301225,-0.14004310735925074,0.09450375547469794,-0.050667103760139956,-0.06569431956858962,-0.11231702590779467,0.017388473000795986,0.004153738345470606,-0.13540095110638087,0.07715966612722858,-0.05453547799803407,-0.04965362920335815,-0.13838500575696766,-0.12961564638859743,-0.04148649730901481,-0.051355972840302494,0.07768560265273648,T1_low,0.0,0.0,T2_mid,0.11187648464537586,0.0
ANDHRA PRADESH,2022,7446.0,12101.0,18331300.0,98507220.0,385881.0,550560.0,193703.0,39880.6,52972.0,18.67073213542424,30.34307407611721,2.470053610025928,0.459654568888131,72846.22064486898,103934.15389262252,0.2112055177423805,0.4834626085623726,0.0587407631494554,0.1341738945794672,0.3473340631523766,0.0964573288644613,0.2508767342879152,12.174081337142988,2305299781,5104045332237.873,1176723791,851602577,276973413.0,20341205.0,0.5100526321068389,43.51921356565733,96353.6459306402,0.4974298071307115,2214.0484176091945,-0.6732413583790527,3.773202531742346,11.47578051361065,21.0,48.8,34.9,27.8,33.9,15.4,14.4,17.1,39.6,47.9,65.6,48.9,81.8,36.2,34.3,66.3,12.7,5448.7676,8.6031,4870.0,6782.0,67.02,True,30.2703,12.087429648563806,-1.301336368669879,-1.1208343790072344,-1.251765353578609,0.8447150960655789,-0.45288430290550924,-0.5872040024928057,-1.0039377467375314,0.1554256290400406,0.03712789473710274,-1.2102717701183805,0.6896861871536986,-0.48746149086557095,-0.4438254326702288,-1.236944530350753,-1.1585602354190057,-0.37082410517740155,-0.4590417101778784,0.6943872333760125,0.20924381020632782,-0.27229658014055197,-0.23452765607371706,-0.2619241520670593,0.17675140523956598,-0.09476323712258546,-0.12286880285000068,-0.21006775933731645,0.032521850824053365,0.007768782159730843,-0.2532418765647268,0.14431256564671438,-0.10199829967756913,-0.09286772459839068,-0.2588229865444682,-0.2424215580126129,-0.07759264868367155,-0.09605163648124813,0.1452962304702274,T1_low,0.0,0.0,T2_mid,0.20924381020632782,0.0
ANDHRA PRADESH,2023,7663.0,12393.0,20317775.0,100356722.0,429719.0,641272.0,219917.0,40240.9,53156.0,19.04281464877773,30.79702491743475,2.4938985460066747,0.504903593110492,80841.10918805026,120639.6267589736,0.214613050459156,0.5410228897940139,0.0689260673586541,0.1576852301461629,0.3778179701265849,0.1133056487524085,0.2645123213741764,12.301005481421964,3965913589,8033362248535.126,1830016550,1777024322,358872717.0,23903359.0,0.5940065704295878,74.60895456768756,151128.04290268503,0.6872049132294685,2025.601937171992,-0.5208648983513957,4.312260534425565,11.925882722719749,21.0,48.8,34.9,27.8,33.9,15.4,14.4,17.1,39.6,47.9,65.6,48.9,81.8,36.2,34.3,66.3,12.7,5448.7676,8.6031,4870.0,6782.0,67.02,True,30.2703,12.087429648563806,-1.301336368669879,-1.1208343790072344,-1.251765353578609,0.8447150960655789,-0.45288430290550924,-0.5872040024928057,-1.0039377467375314,0.1554256290400406,0.03712789473710274,-1.2102717701183805,0.6896861871536986,-0.48746149086557095,-0.4438254326702288,-1.236944530350753,-1.1585602354190057,-0.37082410517740155,-0.4590417101778784,0.6943872333760125,0.2931977485290767,-0.381548893373013,-0.32862611639890693,-0.36701478335595183,0.2476685643149505,-0.1327846579560557,-0.17216689145815298,-0.29435228700679866,0.04557044449825538,0.01088581514454308,-0.35484895810700945,0.20221443726506785,-0.14292261161641248,-0.1301286175988544,-0.3626693513541969,-0.3396872525601695,-0.10872479273832367,-0.1345899959050909,0.2035927734331814,T1_low,0.0,0.0,T2_mid,0.2931977485290767,0.0
