dependent,z_diglit,label,marginal_effect,se,ci_lo,ci_hi
norm_credit_accts_per_adult,-1.5,very low,0.46601850208891826,0.14331597927562584,0.1851191827086916,0.746917821469145
norm_credit_accts_per_adult,-1.0,low,0.43529877849329257,0.1401649804857001,0.16057541674132036,0.7100221402452648
norm_credit_accts_per_adult,0.0,average,0.37385933130204113,0.14369642134489413,0.09221434546604862,0.6555043171380337
norm_credit_accts_per_adult,1.0,high,0.3124198841107897,0.15927863225680544,0.00023376488745102675,0.6246060033341283
norm_credit_accts_per_adult,1.5,very high,0.281700160515164,0.1706594894059354,-0.05279243872046935,0.6161927597507973
norm_deposits_per_capita,-1.5,very low,0.04852304616526225,0.048621076549607095,-0.04677426387196766,0.14382035620249217
norm_deposits_per_capita,-1.0,low,0.07633403230472577,0.04128498271229826,-0.004584533811378813,0.15725259842083034
norm_deposits_per_capita,0.0,average,0.13195600458365284,0.03891722879599658,0.05567823614349954,0.20823377302380613
norm_deposits_per_capita,1.0,high,0.1875779768625799,0.05320035302833991,0.08330528492703368,0.29185066879812616
norm_deposits_per_capita,1.5,very high,0.2153889630020434,0.06366121843022327,0.09061297487880582,0.340164951125281
norm_credit_per_capita,-1.5,very low,0.08648368736851197,0.02863392857584415,0.03036118735985744,0.14260618737716652
norm_credit_per_capita,-1.0,low,0.07221927572335912,0.027908651174245937,0.01751831942183709,0.12692023202488115
norm_credit_per_capita,0.0,average,0.04369045243305338,0.03158780473839671,-0.018221644854204168,0.10560254972031094
norm_credit_per_capita,1.0,high,0.01516162914274765,0.04022319750225835,-0.06367583796167872,0.09399909624717401
norm_credit_per_capita,1.5,very high,0.0008972174975947836,0.04558970361930925,-0.08845860159625135,0.0902530365914409
norm_deposit_accts_per_adult,-1.5,very low,0.10013888481597552,0.13146091661013687,-0.15752451173989276,0.3578022813718438
norm_deposit_accts_per_adult,-1.0,low,0.16215614488793123,0.1361246200660517,-0.1046481104415301,0.42896040021739257
norm_deposit_accts_per_adult,0.0,average,0.2861906650318427,0.15866085741595795,-0.02478461550343486,0.5971659455671203
norm_deposit_accts_per_adult,1.0,high,0.4102251851757542,0.19325266251342604,0.031449966649439165,0.7890004037020693
norm_deposit_accts_per_adult,1.5,very high,0.47224244524770986,0.21332367816672201,0.054128036040934746,0.890356854454485
Access,-1.5,very low,0.2830786934524468,0.09365669919937088,0.09951156302167988,0.46664582388321374
Access,-1.0,low,0.29872746169061176,0.0935599453826676,0.11534996874058329,0.48210495464064024
Access,0.0,average,0.3300249981669417,0.10272593982749138,0.1286821561050586,0.5313678402288248
Access,1.0,high,0.36132253464327163,0.12165094173312584,0.12288668884634499,0.5997583804401982
Access,1.5,very high,0.3769713028814366,0.13356575036941312,0.11518243215738688,0.6387601736054863
Usage,-1.5,very low,0.06750336676688692,0.023418933069889913,0.021602257949902698,0.11340447558387115
Usage,-1.0,low,0.07427665401404225,0.021863332570953218,0.03142452217497394,0.11712878585311057
Usage,0.0,average,0.0878232285083529,0.023038223264356183,0.042668310910214786,0.13297814610649103
Usage,1.0,high,0.10136980300266356,0.02901200357448352,0.04450627599667586,0.15823333000865125
Usage,1.5,very high,0.10814309024981889,0.033075413626719695,0.04331527954144829,0.17297090095818948
AUG,-1.5,very low,0.21557532668555984,0.08527288796579996,0.04844046627259194,0.3827101870985278
AUG,-1.0,low,0.2244508076765695,0.08695929656761792,0.054010586404038385,0.3948910289491006
AUG,0.0,average,0.24220176965858883,0.0979904896913249,0.05014040986359203,0.43426312945358564
AUG,1.0,high,0.25995273164060817,0.11656799901438875,0.031479453572406224,0.4884260097088101
AUG,1.5,very high,0.2688282126316178,0.12771348450360787,0.01850978300454642,0.5191466422586892
