scheme,regressor,label,coef,se,t,p_clustered,p_wild_bootstrap,N,clusters
(A) state + year + outcome FE,c_upi,UPI,1.2560646012700676,0.4514531026517041,2.7822703928543406,0.008977832581822831,0.0206,495,33
(A) state + year + outcome FE,upi_x_int,UPI x Intensive,-0.6603009230197714,0.544865662761351,-1.2118600384421374,0.2344385993025877,0.2611,495,33
(A) state + year + outcome FE,upi_x_skill,UPI x skills,-0.7470592621068157,0.38565927306785297,-1.9370965883021254,0.06160391978335311,0.1028,495,33
(A) state + year + outcome FE,upi_x_skill_x_int,UPI x skills x Intensive,1.0553296438068052,0.5714180305562209,1.8468609448314792,0.07403275950339272,0.1826,495,33
(A) state + year + outcome FE,upi_x_income,UPI x resources,-0.4937898656701374,0.5008248724878389,-0.9859531600681986,0.3315527352162395,0.3286,495,33
(A) state + year + outcome FE,upi_x_income_x_int,UPI x resources x Intensive,1.0482974733277068,0.7476114493945896,1.402195584586901,0.17048359424237036,0.1526,495,33
(B) state x outcome + year x outcome FE,c_upi,UPI,1.4201621921424012,0.5675217148019174,2.5023926928295275,0.017638165883949286,0.0192,495,33
(B) state x outcome + year x outcome FE,upi_x_int,UPI x Intensive,-0.9064473093282459,0.5131342044144037,-1.7664916926804692,0.08685222865138131,0.0808,495,33
(B) state x outcome + year x outcome FE,upi_x_skill,UPI x skills,-0.34488137245671835,0.1678770119487225,-2.054369257906861,0.04818313620852943,0.0077,495,33
(B) state x outcome + year x outcome FE,upi_x_skill_x_int,UPI x skills x Intensive,0.4520628093317155,0.1646541636496841,2.7455291704224254,0.009828466512879164,0.0008,495,33
(B) state x outcome + year x outcome FE,upi_x_income,UPI x resources,0.19618631965630495,0.19128642290817222,1.0256154967699143,0.31276373130619883,0.2231,495,33
(B) state x outcome + year x outcome FE,upi_x_income_x_int,UPI x resources x Intensive,0.013333195337997344,0.18781668172277505,0.07099047441205289,0.9438471591525599,0.9357,495,33
(B) R1 placebo,z_diglit_w,NFHS-5 women internet [TREATMENT],0.4520628093317155,0.1646541636496841,2.7455291704224254,0.009828466512879164,0.0008,495,33
(B) R1 placebo,z_schooling_w,NFHS-5 women 10+ yrs school [PLACEBO same instrument],0.2232661830757171,0.19865490535611807,1.1238896048173574,0.26942058949704095,0.3517,495,33
(B) R1 placebo,z_schooling_m,NFHS-5 men 10+ yrs school [PLACEBO same instrument],0.05129045090717693,0.22996353117560311,0.22303732528794265,0.824924088700151,0.8183,495,33
(B) R1 placebo,z_everschool_w,NFHS-5 female ever in school [PLACEBO same instrument],0.15151384909591317,0.3040915369586132,0.4982507918874907,0.6217146526290589,0.5781,495,33
(B) R1 placebo,z_lit2011,Census 2011 literacy [PLACEBO conventional],0.03103755700121752,0.35734735978071336,0.0868554255452279,0.9313276570834312,0.9319,495,33
(B) R1 placebo,z_urban_share_nfhs,derived urban share [PLACEBO conventional],0.11273499719639268,0.13264763295232407,0.8498832183225739,0.4017041564356112,0.456,495,33
(B) R1 placebo,z_diglit_m,NFHS-5 men internet [ALT digital],0.3974780467541372,0.14159490880852552,2.807149283111829,0.008441462784126275,0.0047,495,33
(B) R1 placebo,z_mobile_w,NFHS-5 women mobile phone [ALT digital],0.3092714472598412,0.2559470027341683,1.2083417424546155,0.23576980930247426,0.1951,495,33
(B) R1 placebo,z_nss75_computer,NSS 75th computer ability [ALT pre-window n=22],0.5177635706761704,0.2649845935677213,1.9539383920591864,0.06415664135780164,0.2443,330,22
