dropped,b5,se,p
MAHARASHTRA,0.3817956834506541,0.11733689343986575,0.0027504059242211554
KERALA,0.40021592410763696,0.15617140640496072,0.015464295350317236
ARUNACHAL PRADESH,0.423831968161669,0.16389692695570632,0.014633439193355358
DELHI,0.43211911008787274,0.167716625134211,0.01496655424830129
ANDAMAN AND NICOBAR ISLANDS,0.4345529395263725,0.17112159455816756,0.016336023615519224
UTTAR PRADESH,0.4369775716224892,0.16307116233678218,0.011691364258128445
GOA,0.44031031807635856,0.17613149221122967,0.017924607360142897
UTTARAKHAND,0.440622548259204,0.16449647798240297,0.011721331767479581
JAMMU AND KASHMIR,0.44132463014965784,0.16193669977536196,0.010467525691345347
GUJARAT,0.4417214769271427,0.18286455503442114,0.0217961954493604
HIMACHAL PRADESH,0.4427231637086522,0.1638205338382264,0.011063524810095648
ASSAM,0.44308509154708897,0.16380701258476243,0.010998468489192392
BIHAR,0.44513366140143856,0.16462980890784754,0.01102718282402293
ODISHA,0.4457206189202592,0.16336687381718026,0.010390102730554629
MADHYA PRADESH,0.4464647561485529,0.1624041836943687,0.009877352192627198
HARYANA,0.4471071830289507,0.1614553263179757,0.009402584914498524
MIZORAM,0.4471203560289405,0.16284950243240623,0.009961928261137398
NAGALAND,0.4514005724073911,0.16573865813397026,0.01051148348454789
TAMIL NADU,0.45163739045954837,0.1660524681489409,0.010607023003175176
RAJASTHAN,0.4528743271847811,0.16167551430523147,0.008693897108996484
CHHATTISGARH,0.4529778617504482,0.16672418987883858,0.010682513940013294
MANIPUR,0.45372152609241984,0.16765358567116814,0.010961657665099711
WEST BENGAL,0.45463511010743135,0.16714882838464595,0.010604587911709151
ANDHRA PRADESH,0.4553210423615707,0.19532384808426312,0.026424635780456285
JHARKHAND,0.45658250545943957,0.16372618856703797,0.008964000840002706
PUNJAB,0.46328920455572653,0.16405962879246322,0.008218861809252243
MEGHALAYA,0.4668207691863765,0.1675376216005454,0.009015514826212323
SIKKIM,0.47032364425007,0.1596750731169132,0.006069004010353041
CHANDIGARH,0.4904143926679251,0.20072317093356615,0.02044875762860432
KARNATAKA,0.4926011927494607,0.1927001927130061,0.01569865963032835
PUDUCHERRY,0.496813736852166,0.17698212267756852,0.00856611770215343
TRIPURA,0.5113246270653895,0.15678318193870522,0.002696923690538977
TELANGANA,0.5602041164438838,0.24529077184433967,0.029387998318701536
