block,variable,label,role,n,mean,sd,min,p25,median,p75,max,skew,cv
DEPENDENT VARIABLES (165 state-years; pooled min-max scale inherited from H1),norm_credit_accts_per_adult,credit accounts / adult,extensive (HEADLINE),165,0.30533005586173695,0.23254079191906657,0.0114532224040855,0.1330780659648243,0.2213128865313884,0.4552048244639913,1.0,1.1007853833577017,0.7616046552075055
DEPENDENT VARIABLES (165 state-years; pooled min-max scale inherited from H1),norm_deposits_per_capita,deposits Rs / capita,intensive,165,0.1685125667794767,0.20786384695441001,0.0035810303383958,0.0501607679866925,0.1142322973873654,0.1742066419837501,1.0,2.5038025646466595,1.2335213386573727
DEPENDENT VARIABLES (165 state-years; pooled min-max scale inherited from H1),norm_credit_per_capita,credit Rs / capita,intensive,165,0.13805572420310677,0.21306439982459563,0.0026154923470116,0.0341765728584438,0.0649941636297937,0.1420578274850678,1.0,3.1264610677100046,1.5433217351504855
DEPENDENT VARIABLES (165 state-years; pooled min-max scale inherited from H1),norm_deposit_accts_per_adult,deposit accounts / adult,"extensive (entangled, D17)",165,0.21679903881464277,0.15154605624691586,0.0012102316746284,0.1465447803039585,0.1913425042783185,0.2424775967568341,1.0,2.5785211388207836,0.6990162736675396
DEPENDENT VARIABLES (165 state-years; pooled min-max scale inherited from H1),Access,Access composite,composite,165,0.26106454733818985,0.17659632368059286,0.0140596933699449,0.1454106279482123,0.208336717810982,0.3529416920272723,0.95859698294888,1.3249743065652015,0.6764469763557185
DEPENDENT VARIABLES (165 state-years; pooled min-max scale inherited from H1),Usage,Usage composite,composite,165,0.15328414549129174,0.20477939767582418,0.0030982613427037,0.0427926909904617,0.0964573288644613,0.1541831575216379,0.9776910445296224,2.8236650704124595,1.3359463695314657
REGRESSORS (165 state-years),pp_users_per_adult,UPI users / adult,IV,165,0.3008088219005111,0.18791269330686372,0.031509382894262,0.156070239426334,0.256927845371939,0.3929040286279495,0.9225118513368308,0.9949496351322091,0.624691430655626
REGRESSORS (165 state-years),branches_per_lakh_adults,branches / lakh adults,control,165,21.60660123006191,11.343260255336254,8.998875140607424,14.473282442748092,19.397767419766648,25.40919561224593,66.67942217545203,2.134977547963101,0.5249904940881696
REGRESSORS (165 state-years),atms_per_lakh_adults,ATMs / lakh adults,control,165,32.74160344353568,18.819639105754746,11.119818815832046,19.486005089058523,28.47401501040271,38.97707546663326,96.43164641729648,1.748245689611141,0.5747928362216601
REGRESSORS (165 state-years),ln_nsdp_pc,ln NSDP per capita,control (time-varying),165,12.005809800864196,0.5358820474838252,10.614351853901232,11.58182633222492,12.10921476866039,12.32446438477782,13.186002744423966,-0.14303656946039717,0.04463522714188356
"MODERATORS AND PLACEBOS (33 states, one value each)",diglit_w,digital literacy: women ever used internet (%),H5a PRIMARY,33,42.77231818181818,16.730738267210718,20.6,28.2,38.0,52.9,76.7,0.5820974193704157,0.3911580895870798
"MODERATORS AND PLACEBOS (33 states, one value each)",diglit_m,men ever used internet (%),H5a alt,33,64.26994242424242,13.802166237927796,42.1,55.7,64.6,74.6,91.9,-0.0059588026008624406,0.21475305122914912
"MODERATORS AND PLACEBOS (33 states, one value each)",mobile_w,women own a mobile phone (%),H5a alt,33,64.17670303030303,15.216783191933274,38.5,50.2,61.2,76.4,91.2,0.15726433277458843,0.2371075869190132
"MODERATORS AND PLACEBOS (33 states, one value each)",mobile_w_2016,"women own a mobile phone, 2015-16 (%)",H5a pre-window,33,54.97510303030303,15.51312977288281,28.7,41.8,54.2784,66.9,81.2,0.16211739649916926,0.2821846420975648
"MODERATORS AND PLACEBOS (33 states, one value each)",nss75_computer,"can operate a computer, 2017-18 (%)","H5a pre-window, n=22",22,18.963636363636365,10.076826099641902,8.0,10.2,16.85,24.55,42.8,1.0008955205245433,0.5313762564528328
"MODERATORS AND PLACEBOS (33 states, one value each)",income_s,state-mean ln NSDP per capita,H5b PRIMARY,33,12.005809800864194,0.5251376378768582,10.726276325007763,11.643828610438623,12.112236099398883,12.318132802175828,13.02407016199534,-0.1556159432960442,0.043740292957086334
"MODERATORS AND PLACEBOS (33 states, one value each)",ln_mpce,"ln MPCE, HCES 2022-23",H5b alt (consumption),33,8.590857575757576,0.32973655870094154,7.9957,8.3357,8.6031,8.7619,9.4395,0.350411850972911,0.03838226344613379
"MODERATORS AND PLACEBOS (33 states, one value each)",schooling_w,women 10+ years schooling (%),placebo,33,46.07489696969697,13.282889194384746,23.2,33.8,48.1,52.5,77.0,0.4130840743205846,0.2882890699271835
"MODERATORS AND PLACEBOS (33 states, one value each)",everschool_w,women ever attended school (%),placebo,33,76.89557878787879,9.13183939192146,60.9,70.0541,77.2,83.8,95.5,0.0028995434777092538,0.11875636461638717
"MODERATORS AND PLACEBOS (33 states, one value each)",lit2011,Census 2011 literacy (%),placebo,33,76.86848484848484,8.5006239187236,61.8,69.32,76.26,82.8,94.0,0.14935748714096866,0.11058659391399668
"MODERATORS AND PLACEBOS (33 states, one value each)",urban_share_nfhs,derived urban share (%),placebo,33,37.82689696969698,20.377847243997046,13.3531,24.7863,33.7243,42.5926,100.0,1.7120651826637048,0.5387131611752791
"MODERATORS AND PLACEBOS (33 states, one value each)",bankacct_w_2016,"women own a bank account, 2015-16 (%)",placebo: BASELINE INCLUSION,33,56.91053636363637,13.521941627171609,26.4,45.6,58.2,64.5,82.8,-0.029253812663559153,0.23759996814599707
compression,norm_credit_accts_per_adult,credit accounts / adult,share below 0.20,165,0.4666666666666667,,,,,,,1.1007853833577017,2.847994059420806
compression,norm_deposits_per_capita,deposits Rs / capita,share below 0.20,165,0.8303030303030303,,,,,,,2.5038025646466595,2.698968927689171
compression,norm_credit_per_capita,credit Rs / capita,share below 0.20,165,0.8606060606060606,,,,,,,3.1264610677100046,3.5724384651011825
compression,norm_deposit_accts_per_adult,deposit accounts / adult,share below 0.20,165,0.5696969696969697,,,,,,,2.5785211388207836,1.5743139025167705
compression,Access,Access composite,share below 0.20,165,0.47878787878787876,,,,,,,1.3249743065652015,2.5210507902983323
compression,Usage,Usage composite,share below 0.20,165,0.8424242424242424,,,,,,,2.8236650704124595,3.0712953002862493
