moderator,role,n_states,gate1_corr_with_upi,gate1_verdict,gate2_iqr_over_sd,gate2_sd,gate2_verdict,gate3_within_share_pct
diglit_w,PRIMARY,33,0.2427,PASS,1.476,16.731,PASS,65.95
income_s,PRIMARY,33,0.6873,PASS,1.284,0.525,PASS,70.8
diglit_m,secondary,33,0.3749,PASS,1.369,13.802,PASS,62.62
diglit_both,secondary,33,0.3104,PASS,1.408,14.876,PASS,64.55
diglit_gap,secondary,33,0.1493,PASS,1.528,7.461,PASS,67.01
nss75_computer,secondary,22,0.4876,PASS,1.424,10.077,PASS,60.98
nss75_internet,secondary,22,0.4716,PASS,1.494,11.062,PASS,60.6
mobile_w,secondary,33,0.0131,PASS,1.722,15.217,PASS,72.41
schooling_w,placebo,33,0.3773,PASS,1.408,13.283,PASS,71.88
schooling_m,placebo,33,0.4642,PASS,1.246,12.358,PASS,70.0
everschool_w,placebo,33,-0.1306,PASS,1.505,9.132,PASS,63.15
lit2011,placebo,33,0.0979,PASS,1.586,8.501,PASS,65.42
urban_share_nfhs,placebo,33,0.5046,PASS,0.874,20.378,PASS,58.72
VIF:c_upi,vif,165,2.477,,,,,
VIF:upi_x_diglit_w,vif,165,2.175,,,,,
VIF:upi_x_income_s,vif,165,2.587,,,,,
VIF:branches_per_lakh_adults,vif,165,6.03,,,,,
VIF:atms_per_lakh_adults,vif,165,7.486,,,,,
VIF:ln_nsdp_pc,vif,165,3.716,,,,,
