dependent,moderator,role,coef,se,p,p_wcb,N,r2,ratio_to_treatment,same_sign
norm_credit_accts_per_adult,diglit_w,TREATMENT,-0.061439447191251426,0.0431194934658135,0.15674945940449025,0.1039,165,0.5934562116902415,,
norm_credit_accts_per_adult,schooling_w,PLACEBO  same instrument,0.009576596795519064,0.07532852365101532,0.8990459510964939,0.906,165,0.42924289815830663,0.156,False
norm_credit_accts_per_adult,schooling_m,PLACEBO  same instrument,0.047150229439204064,0.0722537142914301,0.5152646161151022,0.5099,165,0.4523891039111687,0.767,False
norm_credit_accts_per_adult,everschool_w,PLACEBO  same instrument,0.021439655834657567,0.0985513549591112,0.8281446849103822,0.8242,165,0.32723001360785786,0.349,False
norm_credit_accts_per_adult,lit2011,PLACEBO  conventional,0.048833713089054674,0.10825858150849574,0.6527297686828193,0.7252,165,0.22378677313999962,0.795,False
norm_credit_accts_per_adult,urban_share_nfhs,PLACEBO  conventional,0.022709627789742656,0.03961565195790227,0.5675313380113067,0.5569,165,0.4052944400601872,0.37,False
norm_credit_accts_per_adult,diglit_m,ALT digital measure,-0.04501715267926175,0.03995579288179276,0.2620915735152951,0.1989,165,0.523799093068019,,
norm_credit_accts_per_adult,diglit_both,ALT digital measure,-0.05712613876033592,0.04198193668288742,0.17610709173498118,0.1184,165,0.5709433047906809,,
norm_credit_accts_per_adult,mobile_w,ALT digital measure,-0.07156351543967397,0.060125424478339094,0.23626411056147445,0.1984,165,0.5954541841952325,,
norm_credit_accts_per_adult,nss75_computer,ALT pre-window (n=22),-0.08207723367196987,0.10173660848970975,0.42225673398661656,0.5785,110,0.5884280661561927,,
norm_credit_accts_per_adult,nss75_internet,ALT pre-window (n=22),-0.10244186343460811,0.09440805761102959,0.2812212694835421,0.3901,110,0.5392775541237533,,
norm_credit_accts_per_adult,diglit_gap,ALT gender gap (H4 link),0.025846457307413882,0.03620912222099092,0.4767076390006557,0.4259,165,0.5294367390325765,,
norm_deposits_per_capita,diglit_w,TREATMENT,0.05562197227892706,0.027437437613367536,0.04481812752103753,0.0609,165,0.8256280910324284,,
norm_deposits_per_capita,schooling_w,PLACEBO  same instrument,0.011737026300331537,0.02691357949609474,0.6635345135701529,0.6878,165,0.5577373912215913,0.211,True
norm_deposits_per_capita,schooling_m,PLACEBO  same instrument,-0.002208487900291671,0.02912757067458187,0.9396855288323942,0.9434,165,0.5254773575972764,0.04,False
norm_deposits_per_capita,everschool_w,PLACEBO  same instrument,0.03740588266233989,0.01734930448826144,0.033042877544287474,0.041,165,0.8041547190193423,0.673,True
norm_deposits_per_capita,lit2011,PLACEBO  conventional,0.026793190231207634,0.024511772893094745,0.2765148274464111,0.2737,165,0.7060173051610577,0.482,True
norm_deposits_per_capita,urban_share_nfhs,PLACEBO  conventional,0.06462337072095688,0.03438670789220877,0.06258758749917193,0.0786,165,0.7451517180642089,1.162,True
norm_deposits_per_capita,diglit_m,ALT digital measure,0.06377799876397461,0.028015551494455948,0.024557717182127403,0.0478,165,0.7718167292559104,,
norm_deposits_per_capita,diglit_both,ALT digital measure,0.06369707836130173,0.02791239653294045,0.02421986046052771,0.0358,165,0.8245630291483643,,
norm_deposits_per_capita,mobile_w,ALT digital measure,-0.022826518711925894,0.03465833533113327,0.5113837273308057,0.5895,165,0.37468190912819843,,
norm_deposits_per_capita,nss75_computer,ALT pre-window (n=22),0.044641207782527025,0.014990332975123364,0.00386461457231424,0.0057,110,0.28982616814055784,,
norm_deposits_per_capita,nss75_internet,ALT pre-window (n=22),0.03999421387621597,0.014776077232194401,0.008345341456418964,0.0075,110,0.2051352652594166,,
norm_deposits_per_capita,diglit_gap,ALT gender gap (H4 link),0.006728663558872756,0.021805004231944633,0.7581647090153432,0.7608,165,0.4670473144844546,,
norm_credit_per_capita,diglit_w,TREATMENT,-0.028528823290305733,0.014163679099889012,0.046185392641335365,0.0442,165,0.6389736498262653,,
norm_credit_per_capita,schooling_w,PLACEBO  same instrument,0.018102428062228372,0.009861568778308575,0.0688441153763184,0.0957,165,0.7156302101881591,0.635,False
norm_credit_per_capita,schooling_m,PLACEBO  same instrument,0.022111641771363193,0.01059573357104521,0.03898450158208089,0.032,165,0.7284942683130671,0.775,False
norm_credit_per_capita,everschool_w,PLACEBO  same instrument,-0.006398409272475483,0.011872129321198585,0.5909078152943676,0.5572,165,0.7231146370887523,0.224,True
norm_credit_per_capita,lit2011,PLACEBO  conventional,-0.0006943014205992862,0.012936517606701304,0.9572859617249563,0.9552,165,0.7272680307335027,0.024,True
norm_credit_per_capita,urban_share_nfhs,PLACEBO  conventional,-0.014037760845286783,0.01745236393805016,0.4227610722540751,0.751,165,0.7334602481986003,0.492,True
norm_credit_per_capita,diglit_m,ALT digital measure,-0.020489156045070196,0.015657421690007774,0.19313284763710414,0.1931,165,0.7249784157144412,,
norm_credit_per_capita,diglit_both,ALT digital measure,-0.026310490095539537,0.015498573187372498,0.09213138509839491,0.0806,165,0.6835250895940961,,
norm_credit_per_capita,mobile_w,ALT digital measure,-4.079927512998684e-05,0.014572403153603902,0.9977706881674762,0.998,165,0.7267906825535141,,
norm_credit_per_capita,nss75_computer,ALT pre-window (n=22),-0.004931936763332358,0.01478319262846229,0.7395631706047783,0.7662,110,0.6023940952740054,,
norm_credit_per_capita,nss75_internet,ALT pre-window (n=22),-0.01349397867987604,0.01581501558976577,0.39613972889248417,0.4174,110,0.4834889956220044,,
norm_credit_per_capita,diglit_gap,ALT gender gap (H4 link),0.012543478619481956,0.0073921283673484,0.0922711905070357,0.068,165,0.7108292802929667,,
Usage,diglit_w,TREATMENT,0.01354657449431065,0.011361826441142808,0.23546208746036146,0.2932,165,0.8447166819289696,,
Usage,schooling_w,PLACEBO  same instrument,0.014919727181279903,0.012022075081784931,0.21697657994469477,0.2672,165,0.7971522633652974,1.101,True
Usage,schooling_m,PLACEBO  same instrument,0.00995157693553575,0.013313124746400132,0.4561994219352745,0.4611,165,0.7546474784357133,0.735,True
Usage,everschool_w,PLACEBO  same instrument,0.01550373669493215,0.010291359623842589,0.1345286995721393,0.1497,165,0.8807187204896803,1.144,True
Usage,lit2011,PLACEBO  conventional,0.013049444405304101,0.012845465194236875,0.31169721501762515,0.3329,165,0.846506618328865,0.963,True
Usage,urban_share_nfhs,PLACEBO  conventional,0.02529280493783501,0.010069145839457887,0.013314041023591905,0.0578,165,0.8437262603147264,1.867,True
Usage,diglit_m,ALT digital measure,0.02164442135945219,0.008942691849347893,0.016979671131025054,0.051,165,0.8450018708298301,,
