state_raw,year,atms,source_sheet,total_row_label
ANDAMAN & NICOBAR ISLANDS,2018,115.0,Statewise March-2018,Grand Total
ANDHRA PRADESH,2018,10436.0,Statewise March-2018,Grand Total
ARUNACHAL PRADESH,2018,248.0,Statewise March-2018,Grand Total
ASSAM,2018,3805.0,Statewise March-2018,Grand Total
BIHAR,2018,7949.0,Statewise March-2018,Grand Total
CHANDIGARH,2018,648.0,Statewise March-2018,Grand Total
CHHATTISGARH,2018,3262.0,Statewise March-2018,Grand Total
DADRA & NAGAR HAVELI,2018,139.0,Statewise March-2018,Grand Total
DAMAN,2018,95.0,Statewise March-2018,Grand Total
DELHI,2018,8744.0,Statewise March-2018,Grand Total
DIU,2018,13.0,Statewise March-2018,Grand Total
GOA,2018,1032.0,Statewise March-2018,Grand Total
GUJARAT,2018,11726.0,Statewise March-2018,Grand Total
HARYANA,2018,6497.0,Statewise March-2018,Grand Total
HIMACHAL PRADESH,2018,1786.0,Statewise March-2018,Grand Total
JAMMU & KASHMIR,2018,2516.0,Statewise March-2018,Grand Total
JHARKHAND,2018,3768.0,Statewise March-2018,Grand Total
KARNATAKA,2018,17664.0,Statewise March-2018,Grand Total
KERALA,2018,9644.0,Statewise March-2018,Grand Total
LAKSHADWEEP,2018,17.0,Statewise March-2018,Grand Total
MADHYA PRADESH,2018,10066.0,Statewise March-2018,Grand Total
MAHARASHTRA,2018,25651.0,Statewise March-2018,Grand Total
MANIPUR,2018,335.0,Statewise March-2018,Grand Total
MEGHALAYA,2018,409.0,Statewise March-2018,Grand Total
MIZORAM,2018,171.0,Statewise March-2018,Grand Total
NAGALAND,2018,316.0,Statewise March-2018,Grand Total
ODISHA,2018,6988.0,Statewise March-2018,Grand Total
PUDUCHERRY,2018,591.0,Statewise March-2018,Grand Total
PUNJAB,2018,7384.0,Statewise March-2018,Grand Total
RAJASTHAN,2018,9386.0,Statewise March-2018,Grand Total
SIKKIM,2018,196.0,Statewise March-2018,Grand Total
TAMIL NADU,2018,25277.0,Statewise March-2018,Grand Total
TELANGANA,2018,10365.0,Statewise March-2018,Grand Total
TRIPURA,2018,491.0,Statewise March-2018,Grand Total
UTTAR PRADESH,2018,19937.0,Statewise March-2018,Grand Total
UTTARAKHAND,2018,2677.0,Statewise March-2018,Grand Total
WEST BENGAL,2018,11722.0,Statewise March-2018,Grand Total
ANDAMAN & NICOBAR ISLANDS,2019,105.0,Statewise March 2019,Grand Total
ANDHRA PRADESH,2019,10556.0,Statewise March 2019,Grand Total
ARUNACHAL PRADESH,2019,207.0,Statewise March 2019,Grand Total
ASSAM,2019,3700.0,Statewise March 2019,Grand Total
BIHAR,2019,7733.0,Statewise March 2019,Grand Total
CHANDIGARH,2019,707.0,Statewise March 2019,Grand Total
CHHATTISGARH,2019,3279.0,Statewise March 2019,Grand Total
