year_end_march,reporting_date,region,state,n_offices,n_credit_accounts,credit_limit_rs,amount_outstanding_rs
2018,2018-03-31,CENTRAL REGION,Chhattisgarh,1836,1504076,1102819677000,808207555000
2018,2018-03-31,CENTRAL REGION,Madhya Pradesh,5077,6056046,2878205701000,2105033223000
2018,2018-03-31,CENTRAL REGION,Uttar Pradesh,12426,11057943,5619454923000,3479932161000
2018,2018-03-31,CENTRAL REGION,Uttarakhand,1712,1003057,569417947000,424728010000
2018,2018-03-31,EASTERN REGION,Andaman & Nicobar Islands,66,43648,23745406000,18429808000
2018,2018-03-31,EASTERN REGION,Bihar,4482,5656263,1135652663000,851585958000
2018,2018-03-31,EASTERN REGION,Jharkhand,2441,2437205,698055228000,517248334000
2018,2018-03-31,EASTERN REGION,Odisha,3731,4060703,1285852868000,932685251000
2018,2018-03-31,EASTERN REGION,Sikkim,135,64373,30765126000,22721698000
2018,2018-03-31,EASTERN REGION,West Bengal,6814,9204830,5233332126000,3574314778000
2018,2018-03-31,NORTH-EASTERN REGION,Arunachal Pradesh,122,79804,42071669000,31835390000
2018,2018-03-31,NORTH-EASTERN REGION,Assam,1817,3503630,681398805000,528425959000
2018,2018-03-31,NORTH-EASTERN REGION,Manipur,150,135676,50239398000,38932592000
2018,2018-03-31,NORTH-EASTERN REGION,Meghalaya,241,191417,69506911000,51812080000
2018,2018-03-31,NORTH-EASTERN REGION,Mizoram,102,70238,25606702000,19389456000
2018,2018-03-31,NORTH-EASTERN REGION,Nagaland,147,131527,46901721000,34532275000
2018,2018-03-31,NORTH-EASTERN REGION,Tripura,303,636230,79261106000,65864861000
2018,2018-03-31,NORTHERN REGION,Chandigarh,392,230698,1042498709000,696731373000
2018,2018-03-31,NORTHERN REGION,Delhi,3456,3488712,17916381520000,10769975999000
2018,2018-03-31,NORTHERN REGION,Haryana,4051,2918829,3307499209000,2060903722000
2018,2018-03-31,NORTHERN REGION,Himachal Pradesh,1324,702750,330335818000,250022155000
2018,2018-03-31,NORTHERN REGION,Jammu & Kashmir,1402,1407164,575882718000,425605837000
2018,2018-03-31,NORTHERN REGION,Punjab,5932,3438412,3869746670000,2145227103000
2018,2018-03-31,NORTHERN REGION,Rajasthan,5555,5784112,3256145904000,2384580163000
2018,2018-03-31,SOUTHERN REGION,Andhra Pradesh,5557,10020013,3674246432000,2846449544000
2018,2018-03-31,SOUTHERN REGION,Karnataka,7976,10079603,10054672496000,5514056301000
2018,2018-03-31,SOUTHERN REGION,Kerala,5589,7562074,3496457301000,2657142800000
2018,2018-03-31,SOUTHERN REGION,Lakshadweep,13,5301,1183870000,823505000
2018,2018-03-31,SOUTHERN REGION,Puducherry,198,418645,122937195000,98320699000
