reporting_date,region,state,n_offices,n_credit_accounts,credit_limit_rs,amount_outstanding_rs
2014-03-31,CENTRAL REGION,Chhattisgarh,1361,802491,759570637000,505349599000
2014-03-31,CENTRAL REGION,Madhya Pradesh,4021,3810783,1813920554000,1278279926000
2014-03-31,CENTRAL REGION,Uttar Pradesh,10055,7880338,3213501927000,2381359151000
2014-03-31,CENTRAL REGION,Uttarakhand,1399,779019,339051310000,255807878000
2014-03-31,EASTERN REGION,Andaman & Nicobar Islands,55,36998,12987540000,10137904000
2014-03-31,EASTERN REGION,Bihar,3549,3231896,661855362000,524295107000
2014-03-31,EASTERN REGION,Jharkhand,2000,1658622,484520089000,366067957000
2014-03-31,EASTERN REGION,Odisha,2801,2616738,922378134000,666751556000
2014-03-31,EASTERN REGION,Sikkim,104,40298,18955068000,13640725000
2014-03-31,EASTERN REGION,West Bengal,5586,3754581,4236610233000,2894005361000
2014-03-31,NORTH-EASTERN REGION,Arunachal Pradesh,95,72780,24283044000,17280113000
2014-03-31,NORTH-EASTERN REGION,Assam,1398,1580971,382956674000,278075835000
2014-03-31,NORTH-EASTERN REGION,Manipur,99,95664,23232602000,16451237000
2014-03-31,NORTH-EASTERN REGION,Meghalaya,210,143573,46945479000,35232409000
2014-03-31,NORTH-EASTERN REGION,Mizoram,66,54661,15546053000,11652505000
2014-03-31,NORTH-EASTERN REGION,Nagaland,118,111817,26734866000,20070555000
2014-03-31,NORTH-EASTERN REGION,Tripura,209,200905,40306794000,29000813000
2014-03-31,NORTHERN REGION,Chandigarh,323,188112,896669671000,578970675000
2014-03-31,NORTHERN REGION,Delhi,2948,2371224,13568369740000,8444157242000
2014-03-31,NORTHERN REGION,Haryana,3068,1868699,2480171287000,1450703772000
2014-03-31,NORTHERN REGION,Himachal Pradesh,1120,561405,234433450000,176452039000
2014-03-31,NORTHERN REGION,Jammu & Kashmir,1128,881544,349296327000,254770041000
2014-03-31,NORTHERN REGION,Punjab,4719,2483936,3374428114000,1783137532000
2014-03-31,NORTHERN REGION,Rajasthan,4322,3903287,2228621275000,1649809944000
2014-03-31,SOUTHERN REGION,Andhra Pradesh,7753,14786311,6475052386000,4671328033000
2014-03-31,SOUTHERN REGION,Karnataka,6578,7128406,5866973152000,3632791815000
2014-03-31,SOUTHERN REGION,Kerala,4978,7083820,2348809323000,1816661436000
2014-03-31,SOUTHERN REGION,Lakshadweep,12,6258,887387000,612888000
2014-03-31,SOUTHERN REGION,Puducherry,160,320296,85741151000,70114448000
2014-03-31,SOUTHERN REGION,Tamil Nadu,8154,26339340,8929896685000,6031571266000
2014-03-31,WESTERN REGION,Dadra & Nagar Haveli,47,16313,12475096000,9192377000
2014-03-31,WESTERN REGION,Daman & Diu,40,10748,8730656000,6517444000
2014-03-31,WESTERN REGION,Goa,553,272731,173142695000,129393886000
2014-03-31,WESTERN REGION,Gujarat,5638,3669735,4455249987000,3059860583000
2014-03-31,WESTERN REGION,Maharashtra,9550,18503233,28267470448000,18162501449000
2014-12-31,CENTRAL REGION,Chhattisgarh,1501,846309,811688371000,562115437000
2014-12-31,CENTRAL REGION,Madhya Pradesh,4321,4136291,1955243496000,1373382510000
2014-12-31,CENTRAL REGION,Uttar Pradesh,10904,8214781,3439329395000,2551652027000
2014-12-31,CENTRAL REGION,Uttarakhand,1509,801470,363949579000,278315794000
2014-12-31,EASTERN REGION,Andaman & Nicobar Islands,56,38158,14124197000,11049466000
2014-12-31,EASTERN REGION,Bihar,3858,3405536,687561544000,544959963000
2014-12-31,EASTERN REGION,Jharkhand,2136,1743323,512902432000,383871573000
2014-12-31,EASTERN REGION,Odisha,3142,2666338,927014533000,671778000000
2014-12-31,EASTERN REGION,Sikkim,115,39822,19655698000,14036349000
2014-12-31,EASTERN REGION,West Bengal,5865,3784743,4554527535000,3014040394000
2014-12-31,NORTH-EASTERN REGION,Arunachal Pradesh,98,72750,26548142000,19755214000
2014-12-31,NORTH-EASTERN REGION,Assam,1522,1632013,404642000000,297679680000
2014-12-31,NORTH-EASTERN REGION,Manipur,110,96358,24961791000,17832143000
2014-12-31,NORTH-EASTERN REGION,Meghalaya,216,148428,48333702000,35450830000
2014-12-31,NORTH-EASTERN REGION,Mizoram,74,55675,16673398000,12380323000
2014-12-31,NORTH-EASTERN REGION,Nagaland,126,109995,28489670000,21018543000
2014-12-31,NORTH-EASTERN REGION,Tripura,232,203947,45255853000,31968276000
2014-12-31,NORTHERN REGION,Chandigarh,349,195437,916216858000,591481147000
2014-12-31,NORTHERN REGION,Delhi,3109,2675894,12711026143000,8425237383000
2014-12-31,NORTHERN REGION,Haryana,3425,2120809,2513004747000,1539336687000
2014-12-31,NORTHERN REGION,Himachal Pradesh,1200,577743,236635904000,181511569000
2014-12-31,NORTHERN REGION,Jammu & Kashmir,1230,965962,385466100000,283575430000
2014-12-31,NORTHERN REGION,Punjab,5187,2615319,3782174267000,1870020668000
2014-12-31,NORTHERN REGION,Rajasthan,4681,4119470,2408140000000,1815766938000
2014-12-31,SOUTHERN REGION,Andhra Pradesh,4824,9791776,2265961760000,1768341621000
2014-12-31,SOUTHERN REGION,Karnataka,7076,7548403,5963515405000,3880024048000
2014-12-31,SOUTHERN REGION,Kerala,5274,7466250,2464462569000,1938241706000
2014-12-31,SOUTHERN REGION,Lakshadweep,12,5882,924291000,644383000
2014-12-31,SOUTHERN REGION,Puducherry,175,331627,88687468000,73009602000
2014-12-31,SOUTHERN REGION,Tamil Nadu,8692,26868740,9237050451000,6230645802000
2014-12-31,SOUTHERN REGION,Telangana,3561,5302119,4406164305000,3123438275000
2014-12-31,WESTERN REGION,Dadra & Nagar Haveli,52,21483,12001568000,9070580000
2014-12-31,WESTERN REGION,Daman & Diu,44,11819,10518862000,8321657000
2014-12-31,WESTERN REGION,Goa,604,284994,177201065000,132575784000
2014-12-31,WESTERN REGION,Gujarat,6012,3897655,4726157136000,3269614415000
2014-12-31,WESTERN REGION,Maharashtra,10066,18825862,28528222812000,18537305235000
2015-03-31,CENTRAL REGION,Chhattisgarh,1539,863409,861251460000,587908074000
2015-03-31,CENTRAL REGION,Madhya Pradesh,4423,4286246,1991390420000,1438972546000
2015-03-31,CENTRAL REGION,Uttar Pradesh,11097,8354935,3623919004000,2730804547000
2015-03-31,CENTRAL REGION,Uttarakhand,1534,790532,371107143000,288545983000
2015-03-31,EASTERN REGION,Andaman & Nicobar Islands,58,39193,14984679000,11821160000
2015-03-31,EASTERN REGION,Bihar,3945,3503898,855992419000,612721983000
2015-03-31,EASTERN REGION,Jharkhand,2193,1755849,528827129000,401710217000
2015-03-31,EASTERN REGION,Odisha,3237,2702759,984139028000,727337288000
2015-03-31,EASTERN REGION,Sikkim,117,40322,20408292000,14651160000
2015-03-31,EASTERN REGION,West Bengal,5955,3838574,4604511117000,3123964002000
2015-03-31,NORTH-EASTERN REGION,Arunachal Pradesh,98,74553,27867940000,20456096000
2015-03-31,NORTH-EASTERN REGION,Assam,1545,1663902,419579832000,315681256000
2015-03-31,NORTH-EASTERN REGION,Manipur,112,97167,25902404000,18768667000
2015-03-31,NORTH-EASTERN REGION,Meghalaya,219,151912,50097928000,37472110000
2015-03-31,NORTH-EASTERN REGION,Mizoram,75,56641,17410903000,12919225000
2015-03-31,NORTH-EASTERN REGION,Nagaland,127,112074,30084537000,22486763000
2015-03-31,NORTH-EASTERN REGION,Tripura,235,207875,50214250000,35940354000
2015-03-31,NORTHERN REGION,Chandigarh,355,200453,954013491000,586988448000
2015-03-31,NORTHERN REGION,Delhi,3147,2498679,13731889879000,9073472179000
2015-03-31,NORTHERN REGION,Haryana,3524,2104756,2752520546000,1625714808000
2015-03-31,NORTHERN REGION,Himachal Pradesh,1220,588965,257949969000,200875692000
2015-03-31,NORTHERN REGION,Jammu & Kashmir,1260,1005392,399349739000,297000229000
2015-03-31,NORTHERN REGION,Punjab,5287,2669477,3694546992000,1921786359000
2015-03-31,NORTHERN REGION,Rajasthan,4770,4202241,2533288158000,1912098593000
2015-03-31,SOUTHERN REGION,Andhra Pradesh,4948,9388866,3325976551000,1831074489000
2015-03-31,SOUTHERN REGION,Karnataka,7210,7672902,6266211345000,4074320335000
2015-03-31,SOUTHERN REGION,Kerala,5316,7446208,2591168769000,2016947478000
2015-03-31,SOUTHERN REGION,Lakshadweep,12,5782,969990000,693053000
2015-03-31,SOUTHERN REGION,Puducherry,179,332706,91900308000,75344581000
2015-03-31,SOUTHERN REGION,Tamil Nadu,8825,26898435,9448693278000,6431054912000
2015-03-31,SOUTHERN REGION,Telangana,3639,5296024,5756405698000,3226233854000
2015-03-31,WESTERN REGION,Dadra & Nagar Haveli,52,21313,12424835000,9582246000
2015-03-31,WESTERN REGION,Daman & Diu,46,12199,11070468000,8101234000
2015-03-31,WESTERN REGION,Goa,615,286281,190963750000,137474500000
2015-03-31,WESTERN REGION,Gujarat,6104,3943207,4938593372000,3427545496000
2015-03-31,WESTERN REGION,Maharashtra,10191,18897526,30932742912000,19713950310000
2015-06-30,CENTRAL REGION,Chhattisgarh,1561,898407,835539762000,597250742000
2015-06-30,CENTRAL REGION,Madhya Pradesh,4503,4455113,2129951826000,1481290091000
2015-06-30,CENTRAL REGION,Uttar Pradesh,11259,8674836,3666889162000,2735688975000
2015-06-30,CENTRAL REGION,Uttarakhand,1558,839997,384049112000,288968714000
2015-06-30,EASTERN REGION,Andaman & Nicobar Islands,59,38777,15277802000,11995606000
2015-06-30,EASTERN REGION,Bihar,4000,3577161,783233223000,624989561000
2015-06-30,EASTERN REGION,Jharkhand,2208,1768529,533452415000,398652993000
2015-06-30,EASTERN REGION,Odisha,3291,2775899,939778813000,688728927000
2015-06-30,EASTERN REGION,Sikkim,119,42583,21092652000,15073410000
2015-06-30,EASTERN REGION,West Bengal,6056,4106361,4580321363000,3059500623000
2015-06-30,NORTH-EASTERN REGION,Arunachal Pradesh,101,73180,28216537000,20634599000
2015-06-30,NORTH-EASTERN REGION,Assam,1570,1693900,429808118000,318475985000
2015-06-30,NORTH-EASTERN REGION,Manipur,116,98000,26912724000,19429938000
