Return Sk,Currency Sk,Stored Unit Sk,Quarter Date,Sequence No,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Measure 1,Measure 2,Measure 3,Measure 4,Measure 5,Measure 6,Measure 7,Measure 8,Measure 9,Measure 10,Measure 11,Measure 12,Measure 13,Measure 14,Measure 15,St Flag,Created By,Created Date,Src Name,Report As On Date Sk
258,55,1,2022/03/31 00:00:00,43,GUJARAT,,,,8599,4129596,891977932000,87120982,3278368741000,17271485,5114329911000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2024/03/31 00:00:00,35,PUDUCHERRY,,,,285,142003,18631376000,3019187,104500882000,406167,179127813000,3567357,302260071000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2023/03/31 00:00:00,35,PUDUCHERRY,,,,272,206982,16277775000,2938894,97345176000,372170,151062388000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2025/03/31 00:00:00,7,ANDAMAN & NICOBAR ISLANDS,,,,76,30600,5564900000,528547,40960092000,127339,38965540000,686486,85490532000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2023/03/31 00:00:00,10,ODISHA,,,,5548,3168982,262134067000,68290451,1814083017000,8118601,2556964215000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2025/03/31 00:00:00,13,NORTH EASTERN REGION,,,,5238,1585161,410673704000,69024786,1859792551000,5611153,1731124531000,76221100,4001590786000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2020/03/31 00:00:00,33,KERALA,,,,6801,2523021,232493069000,63825873,1648334841000,10022816,3569410123000,76371710,5450238033000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44920
258,55,1,2022/03/31 00:00:00,38,WESTERN REGION,,,,22954,21789213,6244192699000,276484509,11415172220000,51081971,27606284463000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2021/03/31 00:00:00,13,NORTH EASTERN REGION,,,,4735,2664603,281279331000,56975088,1396679904000,5177658,1158662411000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2022/03/31 00:00:00,24,HIMACHAL PRADESH,,,,1674,1201901,43883037000,10883052,474833118000,3234470,718001754000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45650
258,55,1,2025/03/31 00:00:00,37,TELANGANA,,,,6269,2496628,941298162000,72298328,2613046363000,7895287,5121363866000,82690243,8675708391000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2019/03/31 00:00:00,35,PUDUCHERRY,,,,253,95217,8758770000,2384930,62761436000,350604,106658407000,2830751,178178613000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44554
258,55,1,2024/03/31 00:00:00,15,ASSAM,,,,3190,5060511,183295201000,48765143,1086440507000,3915745,935007271000,57741399,2204742979000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2020/03/31 00:00:00,28,PUNJAB,,,,6735,4712484,172626690000,48143354,1515081413000,9223769,2422162028000,62079607,4109870131000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44920
258,55,1,2021/03/31 00:00:00,34,LAKSHADWEEP,,,,21,3856,454501000,80189,10035976000,3502,1896139000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2019/03/31 00:00:00,30,SOUTHERN REGION,,,,40693,17884676,2648777734000,425192574,9771447511000,59271058,17647872345000,502348308,30068097590000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44554
258,55,1,2019/03/31 00:00:00,29,RAJASTHAN,,,,7391,3576296,265163802000,78614327,1591648973000,9245630,1933266283000,91436253,3790079058000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44554
258,55,1,2021/03/31 00:00:00,25,JAMMU & KASHMIR,,,,1800,2013567,137678038000,16863214,616637623000,3207481,674652563000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,45285
258,55,1,2024/03/31 00:00:00,37,TELANGANA,,,,6047,3276405,849796767000,69987191,2503128835000,7545086,4527981923000,80808682,7880907525000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2026/03/31 00:00:00,9,JHARKHAND,,,,3631,1496692,276913286000,53013677,1604343567000,5472671,2144329154000,59983040,4025586007000,,,,,,,ST2.3,REGULAR LOAD,2026/05/22 20:26:04,SADP,47111
258,55,1,2020/03/31 00:00:00,44,MAHARASHTRA,,,,13578,11706603,4106098047000,170244720,5753238057000,29233528,18218174140000,211184851,28077510244000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44920
258,55,1,2023/03/31 00:00:00,6,EASTERN REGION,,,,26677,27076975,1584095119000,406623315,9758134268000,43657973,11886105808000,,,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,46015
258,55,1,2025/03/31 00:00:00,1,CENTRAL REGION,,,,32915,14561560,1925014286000,508635712,13460333975000,48677343,15589966262000,571874615,30975314523000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2025/03/31 00:00:00,11,SIKKIM,,,,185,40505,11449063000,1132828,50013810000,144351,101440108000,1317684,162902981000,,,,,,,ST2.3,REGULAR LOAD,2025/05/21 17:19:40,SADP,46746
258,55,1,2019/03/31 00:00:00,11,SIKKIM,,,,143,27868,7582859000,885346,34240149000,117555,54498528000,1030769,96321536000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44554
258,55,1,2020/03/31 00:00:00,3,MADHYA PRADESH,,,,7234,4208898,262781835000,94642428,1576414809000,11732115,2128592704000,110583441,3967789348000,,,,,,,ST2.3,One Time Migration,2023/09/01 11:11:07,EXISTING EDW,44920
258,55,1,2024/03/31 00:00:00,26,LADAKH,,,,100,80685,16615579000,485918,38034720000,78629,33827395000,645232,88477694000,,,,,,,ST2.3,REGULAR LOAD,2024/05/27 15:52:55,SADP,46381
258,55,1,2026/03/31 00:00:00,25,JAMMU & KASHMIR,,,,2017,3078307,183871067000,18037609,765218150000,3796226,1166844217000,24912142,2115933434000,,,,,,,ST2.3,REGULAR LOAD,2026/05/22 20:26:04,SADP,47111
