Quarter Date,Sequence No,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Measure 1,Measure 2,Measure 3,Measure 4,Measure 5,Measure 6,Measure 7,Measure 8
2024/12/31 00:00:00,3,MADHYA PRADESH,,,,6513,4399317,377401459000,102339625,2353478269000,10861016,3398239675000,117599958
2025/06/30 00:00:00,15,ASSAM,,,,2785,1047992,146737035000,41807591,974216433000,3900621,1083055834000,46756204
2025/06/30 00:00:00,20,TRIPURA,,,,495,106195,22846344000,3680227,133121858000,494768,160115296000,4281190
2024/06/30 00:00:00,44,MAHARASHTRA,,,,13750,21021739,6287417596000,200342219,8542029251000,36391512,32139012056000,257755470
2025/06/30 00:00:00,3,MADHYA PRADESH,,,,6644,4525103,387055546000,103402823,2449696938000,11220269,3673183626000,119148195
2026/06/30 00:00:00,1,CENTRAL REGION,,,,27257,12735649,2046595026000,392411428,13276065110000,46377044,17758954965000,451524121
2024/12/31 00:00:00,19,NAGALAND,,,,214,71651,27647344000,1728431,79565738000,117600,53644058000,1917682
2026/03/31 00:00:00,18,MIZORAM,,,,142,26221,11238903000,654847,66398424000,63428,58305336000,744496
2025/03/31 00:00:00,42,GOA,,,,690,195278,63090898000,4418920,324000285000,1926565,819532428000,6540763
2025/06/30 00:00:00,17,MEGHALAYA,,,,302,94431,32489758000,2341606,133179610000,308246,156860386000,2744283
2024/03/31 00:00:00,41,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,,,108,89423,14146915000,1539473,66257793000,205471,76140334000,1834367
2025/09/30 00:00:00,21,NORTHERN REGION,,,,26702,14299348,4050686197000,437733498,13606871137000,55733141,31688632750000,507765987
2024/09/30 00:00:00,10,ODISHA,,,,4817,2848682,298568355000,59655257,1812075637000,7794085,3047362717000,70298024
2023/03/31 00:00:00,33,KERALA,,,,6276,3070906,375484229000,69465041,2197465449000,10060743,4448316527000,
2026/03/31 00:00:00,36,TAMIL NADU,,,,12871,5375660,1688786950000,142234490,4836230861000,17817956,9857718877000,165428106
2023/06/30 00:00:00,43,GUJARAT,,,,8174,4744609,965060664000,87246021,3477855318000,17494749,5932504565000,
2025/09/30 00:00:00,27,NCT OF DELHI,,,,4015,3317117,2216180005000,169023225,4297365505000,15932340,14682826114000,188272682
2023/06/30 00:00:00,44,MAHARASHTRA,,,,13327,20005655,5748217393000,196119805,7984470304000,35369881,26471833036000,
2025/12/31 00:00:00,12,WEST BENGAL,,,,9301,5934932,817389685000,142450961,3825279731000,22693518,7850515993000,171079411
2025/06/30 00:00:00,25,JAMMU & KASHMIR,,,,1666,2934850,152571517000,16462335,685813116000,3473974,1025135862000,22871159
2024/09/30 00:00:00,29,RAJASTHAN,,,,7047,4969471,450777009000,82398184,2534937949000,10737804,3558544078000,98105459
2025/03/31 00:00:00,23,HARYANA,,,,4979,2104725,819501647000,102575227,2478555580000,8969371,5349107920000,113649323
2023/09/30 00:00:00,45,ALL-INDIA,,,,138521,148793307,17584246105000,1877713228,60483696680000,253973190,114536844358000,2280479725
2025/09/30 00:00:00,19,NAGALAND,,,,222,74915,29711603000,1774986,82724050000,130067,60042973000,1979968
2024/12/31 00:00:00,37,TELANGANA,,,,5251,2454036,898386844000,63083148,2446571785000,7135164,4831980612000,72672348
2024/03/31 00:00:00,45,ALL-INDIA,,,,140791,161876921,20496765188000,1934452575,63007716350000,257936079,122613105842000,2354265575
2025/12/31 00:00:00,41,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,,,113,58325,16726569000,1594228,69458771000,225645,87205185000,1878198
2023/09/30 00:00:00,4,UTTARAKHAND,,,,1956,2149208,95768090000,15672218,837727505000,3713741,1130107355000,21535167
2024/03/31 00:00:00,14,ARUNACHAL PRADESH,,,,171,105040,52456464000,1486866,133597737000,188468,91954066000,1780374
2025/12/31 00:00:00,9,JHARKHAND,,,,3114,1552580,236921368000,45684667,1460520597000,5250801,2047925075000,52488048
2023/03/31 00:00:00,26,LADAKH,,,,88,68689,14069484000,468884,39711836000,70814,28475040000,
2025/06/30 00:00:00,33,KERALA,,,,6826,1988993,454512766000,71606900,2400059563000,12261855,5947934408000,85857748
2025/09/30 00:00:00,17,MEGHALAYA,,,,302,93852,31049198000,2382709,136890553000,310790,158414234000,2787351
2024/03/31 00:00:00,23,HARYANA,,,,4818,7153309,745296620000,95558299,2353136135000,8533242,4563130564000,111244850
