march_year,state_name,state_code,no_of_deposit_accounts_thousand,deposit_amount_rs_crore,source
2010,Andaman and Nicobar Islands,35,275.0,1613.1999999999998,IDP bank-group wise deposits (RBI BSR-2)
2010,Andhra Pradesh,28,38216.0,94759.2,IDP bank-group wise deposits (RBI BSR-2)
2010,Arunachal Pradesh,12,599.0,4126.2,IDP bank-group wise deposits (RBI BSR-2)
2010,Assam,18,13055.0,48594.200000000004,IDP bank-group wise deposits (RBI BSR-2)
2010,Bihar,10,29634.0,100366.6,IDP bank-group wise deposits (RBI BSR-2)
2010,Chandigarh,4,2330.0,31487.800000000003,IDP bank-group wise deposits (RBI BSR-2)
2010,Chhattisgarh,22,9666.0,47777.4,IDP bank-group wise deposits (RBI BSR-2)
2010,Delhi,7,37782.0,565013.3,IDP bank-group wise deposits (RBI BSR-2)
2010,Goa,30,3367.0,29199.4,IDP bank-group wise deposits (RBI BSR-2)
2010,Gujarat,24,39601.0,215216.5,IDP bank-group wise deposits (RBI BSR-2)
2010,Haryana,6,19124.0,109172.1,IDP bank-group wise deposits (RBI BSR-2)
2010,Himachal Pradesh,2,6011.0,26885.1,IDP bank-group wise deposits (RBI BSR-2)
2010,Jammu and Kashmir,1,8234.0,34002.7,IDP bank-group wise deposits (RBI BSR-2)
2010,Jharkhand,20,14065.0,63582.1,IDP bank-group wise deposits (RBI BSR-2)
2010,Karnataka,29,48811.0,289775.8,IDP bank-group wise deposits (RBI BSR-2)
2010,Kerala,32,30588.0,152096.9,IDP bank-group wise deposits (RBI BSR-2)
2010,Lakshadweep,31,47.0,428.5,IDP bank-group wise deposits (RBI BSR-2)
2010,Madhya Pradesh,23,30265.0,118183.4,IDP bank-group wise deposits (RBI BSR-2)
2010,Maharashtra,27,71197.0,1201991.8,IDP bank-group wise deposits (RBI BSR-2)
2010,Manipur,14,639.0,2699.5,IDP bank-group wise deposits (RBI BSR-2)
2010,Meghalaya,17,1023.0,7642.400000000001,IDP bank-group wise deposits (RBI BSR-2)
2010,Mizoram,15,371.0,2239.4,IDP bank-group wise deposits (RBI BSR-2)
2010,Nagaland,13,548.0,4187.7,IDP bank-group wise deposits (RBI BSR-2)
2010,Odisha,21,19640.0,82423.8,IDP bank-group wise deposits (RBI BSR-2)
2010,Puducherry,34,1304.0,6114.8,IDP bank-group wise deposits (RBI BSR-2)
2010,Punjab,3,27515.0,133200.4,IDP bank-group wise deposits (RBI BSR-2)
2010,Rajasthan,8,28938.0,106735.5,IDP bank-group wise deposits (RBI BSR-2)
2010,Sikkim,11,344.0,3134.4,IDP bank-group wise deposits (RBI BSR-2)
2010,Tamil Nadu,33,58926.0,283635.5,IDP bank-group wise deposits (RBI BSR-2)
2010,Telangana,36,28401.0,154504.9,IDP bank-group wise deposits (RBI BSR-2)
