state_raw,year_label,value,table,source_title,source_url
Chandigarh,2004,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Chandigarh,2005,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Chandigarh,2006,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Chandigarh,2007,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Chandigarh,2008,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Chandigarh,2009,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Chandigarh,2010,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Chandigarh,2011,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Chandigarh,2012,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Chandigarh,2013,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Chandigarh,2014,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Delhi,2004,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Delhi,2005,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Delhi,2006,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Delhi,2007,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Delhi,2008,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Delhi,2009,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Delhi,2010,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Delhi,2011,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Delhi,2012,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Delhi,2013,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Delhi,2014,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Haryana,2004,1486.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Haryana,2005,1673.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Haryana,2006,2232.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Haryana,2007,2927.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Haryana,2008,3451.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Haryana,2009,4027.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Haryana,2010,6658.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Haryana,2011,7406.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Haryana,2012,7042.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Haryana,2013,8483.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Haryana,2014,8624.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Himachal Pradesh,2004,691.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Himachal Pradesh,2005,727.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Himachal Pradesh,2006,771.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Himachal Pradesh,2007,853.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Himachal Pradesh,2008,962.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Himachal Pradesh,2009,1115.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Himachal Pradesh,2010,1309.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Himachal Pradesh,2011,1569.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Himachal Pradesh,2012,1897.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Himachal Pradesh,2013,2034.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Himachal Pradesh,2014,2462.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Jammu & Kashmir,2004,915.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Jammu & Kashmir,2005,971.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Jammu & Kashmir,2006,1066.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Jammu & Kashmir,2007,1204.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Jammu & Kashmir,2008,1268.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Jammu & Kashmir,2009,1400.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Jammu & Kashmir,2010,1666.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Jammu & Kashmir,2011,1961.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Jammu & Kashmir,2012,2299.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Jammu & Kashmir,2013,2618.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Jammu & Kashmir,2014,2898.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Ladakh,2004,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Ladakh,2005,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Ladakh,2006,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Ladakh,2007,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Ladakh,2008,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Ladakh,2009,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Ladakh,2010,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Ladakh,2011,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Ladakh,2012,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Ladakh,2013,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Ladakh,2014,,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Punjab,2004,902.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Punjab,2005,1025.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Punjab,2006,1155.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Punjab,2007,1318.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Punjab,2008,1643.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Punjab,2009,2060.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Punjab,2010,2543.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
Punjab,2011,3031.0,t160_rrb_deposits,Table 160: State-wise Deposits of RRBs,https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23609
