state_raw,year_label,value,table,source_title,source_url
Andaman & Nicobar Islands,2011-12,89100.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Andaman & Nicobar Islands,2012-13,92644.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Andaman & Nicobar Islands,2013-14,98735.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Andaman & Nicobar Islands,2014-15,106711.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Andaman & Nicobar Islands,2015-16,114660.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Andaman & Nicobar Islands,2016-17,129532.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Andhra Pradesh,2011-12,69000.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Andhra Pradesh,2012-13,68865.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Andhra Pradesh,2013-14,72254.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Andhra Pradesh,2014-15,79174.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
Andhra Pradesh,2015-16,88609.0,t19_pc_nsdp_constant,Table 20: Per Capita Net State Domestic Product (Constant Prices),https://www.rbi.org.in/Scripts/PublicationsView.aspx?id=23469
