state_key,fy_end,txn_count,txn_amount_inr,txn_count_p2p,txn_count_retail,txn_count_utility,quarters_used,registered_users_31mar
ANDAMAN AND NICOBAR ISLANDS,2019,108081,337196488.12155986,39674,66597,1810.0,4,24369.0
ANDAMAN AND NICOBAR ISLANDS,2020,178156,666651105.5522575,75046,90923,12187.0,4,36875.0
ANDAMAN AND NICOBAR ISLANDS,2021,810949,2283943594.9079094,298875,339251,172823.0,4,69111.0
ANDAMAN AND NICOBAR ISLANDS,2022,2766636,7102150179.306252,1096489,948661,721486.0,4,102605.0
ANDAMAN AND NICOBAR ISLANDS,2023,8009579,15926618316.085453,2941580,3879828,1188171.0,4,134328.0
ANDAMAN AND NICOBAR ISLANDS,2024,14482740,24278074502.450413,4956722,8076758,1449260.0,4,162750.0
ANDAMAN AND NICOBAR ISLANDS,2025,22501979,33258345180.071564,7310169,13409950,1781860.0,4,190713.0
ANDAMAN AND NICOBAR ISLANDS,2026,28681127,38988997625.684105,8818611,17851174,2011342.0,4,214818.0
ANDHRA PRADESH,2019,147663871,222629544072.1353,86306754,53823135,7533982.0,4,7399826.0
ANDHRA PRADESH,2020,456224368,904711355337.2407,251058314,175099458,30066596.0,4,11664133.0
ANDHRA PRADESH,2021,1114327170,2554043032593.083,596523678,390253826,127549666.0,4,16309736.0
ANDHRA PRADESH,2022,2305299781,5104045332237.873,1176723791,851602577,276973413.0,4,20341205.0
ANDHRA PRADESH,2023,3965913589,8033362248535.126,1830016550,1777024322,358872717.0,4,23903359.0
ANDHRA PRADESH,2024,6100707689,10994625319954.803,2593166256,3051701840,455839593.0,4,26931791.0
ANDHRA PRADESH,2025,8722600227,13534513413600.871,3351642709,4832303016,538654502.0,4,30313656.0
ANDHRA PRADESH,2026,11141387277,15946046387676.684,4010413555,6530451575,600522147.0,4,33598777.0
ARUNACHAL PRADESH,2019,776624,1990153904.2255032,279732,488744,8148.0,4,88991.0
ARUNACHAL PRADESH,2020,2110367,5954407867.609406,866832,1012783,230752.0,4,169049.0
ARUNACHAL PRADESH,2021,5037736,14846765417.099852,2144552,1640726,1252458.0,4,279538.0
ARUNACHAL PRADESH,2022,11103928,30914662515.980244,5524678,2401306,3177944.0,4,378277.0
ARUNACHAL PRADESH,2023,27121308,57221528096.05059,12956372,9635070,4529866.0,4,493307.0
ARUNACHAL PRADESH,2024,56097324,93461759642.10963,25193738,24647764,6255822.0,4,623413.0
ARUNACHAL PRADESH,2025,99826786,132960777048.71558,39923901,51554893,8347992.0,4,772957.0
ARUNACHAL PRADESH,2026,139763628,168428776253.84674,49324305,81144831,9294492.0,4,894421.0
ASSAM,2019,13967217,22214537015.4834,4978222,8588416,400579.0,4,1461630.0
ASSAM,2020,27206629,56679473553.30218,11721338,12542472,2942819.0,4,2534072.0
ASSAM,2021,55090978,126623992236.7572,23269877,18078968,13742133.0,4,3929145.0
ASSAM,2022,136368851,304054245176.4786,61297563,37635122,37436166.0,4,5551092.0
ASSAM,2023,361442763,662579690506.7854,152381670,150424553,58636540.0,4,7478158.0
ASSAM,2024,724858418,1085754906102.5233,295693405,345575952,83589061.0,4,9619049.0
ASSAM,2025,1286873907,1510101803063.0073,495165478,683120793,108587636.0,4,11808496.0
ASSAM,2026,1839361735,1879705697066.6062,677506810,1029134078,132720847.0,4,13764766.0
BIHAR,2019,73844614,116110682066.13983,40908581,31306648,1629385.0,4,5903371.0
BIHAR,2020,143930233,320833212775.9124,75222861,58047174,10660198.0,4,9579162.0
BIHAR,2021,336121711,822568246527.9785,170777072,115309870,50034769.0,4,14274751.0
BIHAR,2022,828700722,1836128822596.8748,410957135,293026594,124716993.0,4,19351497.0
BIHAR,2023,1784928984,3408588350078.5093,798460459,797788818,188679707.0,4,24855994.0
BIHAR,2024,3467956864,5443622078910.4375,1456177674,1718947657,292831533.0,4,30849769.0
BIHAR,2025,5766820665,7830104491867.982,2347967489,3024754562,394098614.0,4,37257833.0
BIHAR,2026,7718977001,9466434166885.957,3026437148,4254815268,437724585.0,4,43855409.0
CHANDIGARH,2019,2217558,4668563332.842735,1134987,1008318,74253.0,4,207673.0
CHANDIGARH,2020,5949334,11492301628.334667,2544405,2983605,421324.0,4,316683.0
CHANDIGARH,2021,8787462,16365180842.437569,3091875,4605443,1090144.0,4,420246.0
CHANDIGARH,2022,19171048,30009017419.684216,5910181,10934707,2326160.0,4,509170.0
CHANDIGARH,2023,36864527,48855249989.82359,9986293,23913895,2964339.0,4,587987.0
CHANDIGARH,2024,52969329,64436574363.93413,13827459,35723210,3418660.0,4,660057.0
CHANDIGARH,2025,72977870,79568351937.01341,18419787,50466028,4092055.0,4,739749.0
CHANDIGARH,2026,87853233,91229563329.4807,22018595,61466264,4368374.0,4,811491.0
CHHATTISGARH,2019,23052352,36919605442.13843,9791781,11994013,1266558.0,4,1925189.0
CHHATTISGARH,2020,58052733,100716908852.8911,24728887,27495707,5828139.0,4,3094859.0
CHHATTISGARH,2021,137726923,244467951742.51215,56217444,57899892,23609587.0,4,4682835.0
CHHATTISGARH,2022,347830466,558727312374.3186,136062854,152446822,59320790.0,4,6380734.0
CHHATTISGARH,2023,719754516,1016183070075.9812,259514284,376947206,83293026.0,4,8004123.0
CHHATTISGARH,2024,1222951795,1547986631687.7273,419653654,687181854,116116287.0,4,9676480.0
CHHATTISGARH,2025,1854388334,2152276142691.1035,611773960,1091443746,151170628.0,4,11341270.0
CHHATTISGARH,2026,2329130944,2485674583834.2256,740538699,1418670094,169922151.0,4,12825130.0
DELHI,2019,81210271,108647790291.45105,26476060,48542988,6191223.0,4,5182927.0
DELHI,2020,226222870,330387808912.8812,78427269,122142106,25653495.0,4,7506500.0
DELHI,2021,347718038,594187832026.6547,136175553,169847288,41695197.0,4,9968730.0
DELHI,2022,697547141,1179138455399.825,269537655,347027930,80981556.0,4,12414526.0
DELHI,2023,1390114904,2117683265358.7961,467613563,807917435,114583906.0,4,14595060.0
DELHI,2024,2269008815,3001969291411.1064,697840267,1418421080,152747468.0,4,16600851.0
DELHI,2025,3476111866,3991161030481.141,993993562,2278025662,204092642.0,4,18767127.0
DELHI,2026,4233434741,4498055414367.695,1159458679,2833171758,240804304.0,4,20688029.0
DNH_DD,2019,1786626,2525975657.8670473,872390,866966,47270.0,4,122413.0
DNH_DD,2020,3390810,5764546758.9955435,1549176,1531607,310027.0,4,193453.0
DNH_DD,2021,7052966,10749917196.547932,2743639,3109825,1199502.0,4,284780.0
DNH_DD,2022,17764176,23249298019.67849,6698054,8310150,2755972.0,4,369790.0
DNH_DD,2023,38894537,41960774071.197205,11911939,23392019,3590579.0,4,449889.0
DNH_DD,2024,66289976,63625277097.19113,19100421,42368125,4821430.0,4,522738.0
DNH_DD,2025,101441558,85321452970.17892,27858974,67441211,6141373.0,4,597015.0
DNH_DD,2026,125935185,100958369517.36028,33156883,86233175,6545127.0,4,661947.0
GOA,2019,2082749,4317080588.455332,969161,1069226,44362.0,4,248825.0
GOA,2020,6628530,13255529063.79043,3214179,2815876,598475.0,4,410941.0
GOA,2021,14189295,25224579440.47266,5747525,6298227,2143543.0,4,596406.0
GOA,2022,38155824,61083005672.85698,14620846,18413048,5121930.0,4,759279.0
GOA,2023,81550319,119463175405.89645,27552244,46985750,7012325.0,4,904953.0
GOA,2024,122903505,165906437219.59906,38252926,76100641,8549938.0,4,1039130.0
GOA,2025,169661664,208955365329.86157,49422977,110014500,10224187.0,4,1185550.0
GOA,2026,200043110,240845638022.45914,55916539,133160656,10965915.0,4,1325289.0
GUJARAT,2019,63581519,95224986625.66844,28708832,31867199,3005488.0,4,6920980.0
GUJARAT,2020,153082679,259251072361.4629,61283830,77563492,14235357.0,4,10722212.0
GUJARAT,2021,273898749,502651740461.2488,101172999,123999143,48726607.0,4,15212633.0
GUJARAT,2022,613091145,1135875409592.921,224890114,273262841,114938190.0,4,19483483.0
GUJARAT,2023,1239112850,2068555140371.5952,412486880,668000128,158625842.0,4,23551635.0
GUJARAT,2024,2067541154,3048341016010.3164,639755100,1221015926,206770128.0,4,27405423.0
GUJARAT,2025,3199225757,4082373156018.918,931371235,2006921191,260933331.0,4,31378561.0
GUJARAT,2026,4140594826,4759137802014.776,1179745394,2678940093,281909339.0,4,34953549.0
HARYANA,2019,56065374,96628625080.15952,27294770,26761469,2009135.0,4,4759566.0
HARYANA,2020,160512982,290656200867.4215,67908289,80232318,12372375.0,4,7305629.0
HARYANA,2021,310989848,588403258619.7633,129734133,144201675,37054040.0,4,10053988.0
HARYANA,2022,683415412,1203927461067.9343,270689657,326511490,86214265.0,4,12718254.0
HARYANA,2023,1326036215,2086557819907.584,456564804,746864612,122606799.0,4,15150515.0
HARYANA,2024,2122347318,2940934375982.7695,668196659,1292467451,161683208.0,4,17427671.0
HARYANA,2025,3239439104,3914737016593.4375,939899966,2089237844,210301294.0,4,19907909.0
HARYANA,2026,4009373978,4572911630756.692,1111017048,2665668635,232688295.0,4,22159437.0
HIMACHAL PRADESH,2019,5537320,9182031566.192154,2394091,2976831,166398.0,4,664582.0
HIMACHAL PRADESH,2020,13223599,24381652096.814346,5320058,6480425,1423116.0,4,1132310.0
HIMACHAL PRADESH,2021,26791652,48344454803.5383,9235727,11283234,6272691.0,4,1638990.0
HIMACHAL PRADESH,2022,53985001,90944937659.4068,19009082,21197631,13778288.0,4,2050007.0
HIMACHAL PRADESH,2023,102815660,146493015745.569,32300513,54526212,15988935.0,4,2420834.0
HIMACHAL PRADESH,2024,153118022,187974923732.38657,44272825,91868981,16976216.0,4,2783894.0
HIMACHAL PRADESH,2025,216529388,244707751975.7604,61393107,135807189,19329092.0,4,3187150.0
HIMACHAL PRADESH,2026,249860319,273127353967.47913,70926121,159035270,19898928.0,4,3529338.0
JAMMU AND KASHMIR,2019,5614196,10453042388.342484,2834974,2587669,191553.0,4,784387.0
JAMMU AND KASHMIR,2020,4678582,14136785668.18799,2322457,1971650,384475.0,4,1078683.0
JAMMU AND KASHMIR,2021,19546667,50942785186.26042,7887433,6694999,4964235.0,4,1645988.0
JAMMU AND KASHMIR,2022,55720249,114013429389.97021,20521036,17445476,17753737.0,4,2357661.0
JAMMU AND KASHMIR,2023,142778670,227741026462.60715,47232275,66746144,28800251.0,4,3148217.0
JAMMU AND KASHMIR,2024,292269702,386252154053.0768,87652868,161295831,43321003.0,4,4021373.0
JAMMU AND KASHMIR,2025,516323397,629204590275.5015,149844949,310594034,55884414.0,4,4912631.0
JAMMU AND KASHMIR,2026,663442998,752355039392.726,193643180,407947426,61852392.0,4,5618162.0
JHARKHAND,2019,30875407,42693949424.77113,18823083,11585101,467223.0,4,2344245.0
JHARKHAND,2020,68994130,114851597681.96745,33742020,31096811,4155299.0,4,3782690.0
JHARKHAND,2021,149633676,277110290653.6448,65630876,63956066,20046734.0,4,5505298.0
JHARKHAND,2022,381445518,656317474256.5989,159336081,167424933,54684504.0,4,7352042.0
JHARKHAND,2023,799633918,1218807520761.628,305136931,412840207,81656780.0,4,9222109.0
JHARKHAND,2024,1422940518,1906196993225.714,521877425,787292196,113770897.0,4,11202660.0
JHARKHAND,2025,2210797429,2670273653523.9385,790511898,1275911410,144374121.0,4,13390825.0
JHARKHAND,2026,2864838926,3242654310157.634,994966316,1706638223,163234387.0,4,15393721.0
KARNATAKA,2019,166875428,257129595744.04062,78797116,82081438,5996874.0,4,10393952.0
KARNATAKA,2020,823773701,1063684025958.7845,325279720,460137775,38356206.0,4,17044952.0
KARNATAKA,2021,1464453019,2208931635280.9067,560268457,772292469,131892093.0,4,24058436.0
KARNATAKA,2022,3111517945,4662188858507.812,1176776723,1624598730,310142492.0,4,30809500.0
KARNATAKA,2023,6230666456,8539485187066.939,2083731873,3683974614,462959969.0,4,36773789.0
KARNATAKA,2024,9747574726,12505567135489.297,3040383630,6098473443,608717653.0,4,41888288.0
KARNATAKA,2025,13476022407,16285459051829.56,4044004453,8699215396,732802558.0,4,46870457.0
KARNATAKA,2026,15875434705,18477209811040.94,4569362573,10526717054,779355078.0,4,51308731.0
KERALA,2019,16465255,27144830559.195114,7782907,8401451,280897.0,4,2073323.0
KERALA,2020,45705289,78115478537.69186,20220886,21458633,4025770.0,4,3898086.0
KERALA,2021,116222381,191469796669.54025,42634643,52285899,21301839.0,4,6650208.0
KERALA,2022,286929168,433839214641.3373,100339987,128590070,57999111.0,4,8855141.0
KERALA,2023,536308687,719106602321.3627,169868486,296439427,70000774.0,4,10759741.0
KERALA,2024,692716525,885607636943.1315,208915045,409579970,74221510.0,4,12400955.0
KERALA,2025,892084543,1067633272284.5692,263950271,548901189,79233083.0,4,14209056.0
KERALA,2026,1064247385,1228388330434.3367,309999683,672991808,81255894.0,4,15839220.0
LAKSHADWEEP,2019,13192,41469140.85798852,6137,6941,114.0,4,2320.0
