raw_state,year,quarter,txn_count,txn_amount_inr,registered_users,txn_count_p2p,txn_count_retail,txn_count_utility
andaman & nicobar islands,2018,1,9089,18569126.204451818,9292,2297,6656,136.0
andaman & nicobar islands,2018,2,15062,35517275.86434877,12739,4383,10462,217.0
andaman & nicobar islands,2018,3,21154,67343424.71247172,15949,7608,13138,408.0
andaman & nicobar islands,2018,4,31139,107983057.52065912,20050,12260,18359,520.0
andaman & nicobar islands,2019,1,40726,126352730.02408026,24369,15423,24638,665.0
andaman & nicobar islands,2019,2,46764,163354796.04235423,28099,18528,27418,818.0
andaman & nicobar islands,2019,3,40623,151428296.95221972,31181,17346,21707,1570.0
andaman & nicobar islands,2019,4,41665,170840663.89588845,33871,19490,18325,3850.0
andaman & nicobar islands,2020,1,49104,181027348.6617951,36875,19682,23473,5949.0
andaman & nicobar islands,2020,2,78685,197252557.32084328,41393,23455,43610,11620.0
andaman & nicobar islands,2020,3,143989,392083841.7156626,50005,48650,76639,18700.0
andaman & nicobar islands,2020,4,272005,732159322.5032427,61520,95937,132834,43234.0
andaman & nicobar islands,2021,1,316270,962447873.368161,69111,130833,86168,99269.0
andaman & nicobar islands,2021,2,457972,1105731027.1761088,77369,167435,123565,166972.0
andaman & nicobar islands,2021,3,587428,1530805193.8545938,85547,231422,169369,186637.0
andaman & nicobar islands,2021,4,722741,2012194678.690066,94375,300209,259587,162945.0
andaman & nicobar islands,2022,1,998495,2453419279.5854826,102605,397423,396140,204932.0
andaman & nicobar islands,2022,2,1419556,3229468164.9089017,111074,537340,629016,253200.0
andaman & nicobar islands,2022,3,1876971,3727232315.104086,119671,698789,866124,312058.0
andaman & nicobar islands,2022,4,2263155,4313612056.401077,127606,822471,1130336,310348.0
andaman & nicobar islands,2023,1,2449897,4656305779.671389,134328,882980,1254352,312565.0
andaman & nicobar islands,2023,2,2939168,5236683780.982016,141172,997058,1593082,349028.0
andaman & nicobar islands,2023,3,3294013,5429583227.211581,148091,1138133,1795799,360081.0
andaman & nicobar islands,2023,4,3921213,6538722461.517704,155470,1353803,2204624,362786.0
andaman & nicobar islands,2024,1,4328346,7073085032.739111,162750,1467728,2483253,377365.0
andaman & nicobar islands,2024,2,4795590,7495263210.120073,170651,1548283,2830230,417077.0
andaman & nicobar islands,2024,3,5294506,7666206641.658037,178309,1730844,3128743,434919.0
andaman & nicobar islands,2024,4,6079801,8934732725.344223,184669,1988874,3637868,453059.0
andaman & nicobar islands,2025,1,6332082,9162142602.949232,190713,2042168,3813109,476805.0
andaman & nicobar islands,2025,2,6375269,8893455438.409813,196844,1943344,3953793,478132.0
andaman & nicobar islands,2025,3,6731822,8790337988.9711,203056,2062721,4184644,484457.0
andaman & nicobar islands,2025,4,7609535,10377697808.657213,209295,2368365,4719538,521632.0
andaman & nicobar islands,2026,1,7964501,10927506389.645979,214818,2444181,4993199,527121.0
andaman & nicobar islands,2026,2,7753095,10442295042.827309,220759,2318395,4915599,519101.0
andhra pradesh,2018,1,10862829,14001071206.72507,2979027,3470494,6888562,503773.0
andhra pradesh,2018,2,14697368,26355488600.117676,3941740,5367902,8191674,1137792.0
andhra pradesh,2018,3,29262730,40288693498.011696,4841052,17848404,9823208,1591118.0
andhra pradesh,2018,4,35722329,57943164106.786865,6134766,19562957,14242724,1916648.0
andhra pradesh,2019,1,67981444,98042197867.21909,7399826,43527491,21565529,2888424.0
andhra pradesh,2019,2,73241659,144859083315.21857,8379878,41431019,29006645,2803995.0
andhra pradesh,2019,3,93033155,177040315932.09756,9369779,49997866,38574125,4461164.0
andhra pradesh,2019,4,130762980,254283893858.3307,10528985,73565940,48905204,8291836.0
andhra pradesh,2020,1,159186574,328528062231.59393,11664133,86063489,58613484,14509601.0
andhra pradesh,2020,2,176284886,380612306331.30676,12828761,94711506,58995509,22577871.0
andhra pradesh,2020,3,251377109,585395478652.1339,14049378,136309737,90557252,24510120.0
andhra pradesh,2020,4,326093276,760638671029.0725,15263807,178466683,118472460,29154133.0
andhra pradesh,2021,1,360571899,827396576580.57,16309736,187035752,122228605,51307542.0
andhra pradesh,2021,2,450715706,1067722803488.4009,17327874,244005532,137701586,69008588.0
andhra pradesh,2021,3,552469257,1229581784431.981,18380260,283896229,195005296,73567732.0
andhra pradesh,2021,4,576560191,1241105876775.0784,19405303,288996866,223299270,64264055.0
andhra pradesh,2022,1,725554627,1565634867542.4126,20341205,359825164,295596425,70133038.0
andhra pradesh,2022,2,840332341,1793485874297.8623,21272937,402016237,357185042,81131062.0
andhra pradesh,2022,3,956418056,1959402519798.4548,22199210,442266221,425082142,89069693.0
andhra pradesh,2022,4,1030438279,2028666459424.0625,23102641,470505491,468020065,91912723.0
andhra pradesh,2023,1,1138724913,2251807395014.746,23903359,515228601,526737073,96759239.0
andhra pradesh,2023,2,1295037315,2509703988271.9307,24687258,573773696,613447829,107815790.0
andhra pradesh,2023,3,1467644978,2654560419251.27,25473637,623522468,730559498,113563012.0
andhra pradesh,2023,4,1588297806,2811855025318.7295,26160960,673686762,800499764,114111280.0
andhra pradesh,2024,1,1749727590,3018505887112.872,26931791,722183330,907194749,120349511.0
andhra pradesh,2024,2,1920885662,3185673985146.1885,27773775,748936609,1043588059,128360994.0
andhra pradesh,2024,3,2086058265,3227507134129.8457,28578957,803007628,1154960340,128090297.0
andhra pradesh,2024,4,2292770050,3454536571052.4014,29497544,872939105,1284541504,135289441.0
andhra pradesh,2025,1,2422886250,3666795723272.4346,30313656,926759367,1349213113,146913770.0
andhra pradesh,2025,2,2530918973,3781520939571.639,31181805,935539501,1445602514,149776958.0
andhra pradesh,2025,3,2700328888,3814695548343.5576,32097241,979073292,1575163628,146091968.0
andhra pradesh,2025,4,2862709581,4000106326747.966,32906085,1018086782,1696774348,147848451.0
andhra pradesh,2026,1,3047429835,4349723573013.5205,33598777,1077713980,1812911085,156804770.0
andhra pradesh,2026,2,3245956863,4623697374921.988,34327612,1109707075,1978617733,157632055.0
arunachal pradesh,2018,1,56572,112009706.82247925,26660,15540,40846,186.0
arunachal pradesh,2018,2,100858,239594007.44920862,39517,30899,69003,956.0
arunachal pradesh,2018,3,160327,390349037.86985934,53503,56490,102215,1622.0
arunachal pradesh,2018,4,222216,597276469.6237385,71555,78292,141727,2197.0
arunachal pradesh,2019,1,293223,762934389.2826967,88991,114051,175799,3373.0
arunachal pradesh,2019,2,387295,1070406251.3836615,108855,148005,235969,3321.0
arunachal pradesh,2019,3,456122,1290611112.9316866,128047,187127,246085,22910.0
arunachal pradesh,2019,4,570808,1664821348.2619624,146946,248720,245850,76238.0
arunachal pradesh,2020,1,696142,1928569155.032096,169049,282980,284879,128283.0
arunachal pradesh,2020,2,972129,2479742352.6607533,198449,340273,407472,224384.0
arunachal pradesh,2020,3,1160082,3346055621.9050674,228945,475422,466194,218466.0
arunachal pradesh,2020,4,1393785,4195981781.202884,257285,611037,498430,284318.0
arunachal pradesh,2021,1,1511740,4824985661.331147,279538,717820,268630,525290.0
arunachal pradesh,2021,2,2126788,5874285594.840509,303657,1019755,357066,749967.0
arunachal pradesh,2021,3,2552879,7358989851.156297,327708,1295459,445416,812004.0
arunachal pradesh,2021,4,2781103,7765536383.489752,353110,1394700,624665,761738.0
arunachal pradesh,2022,1,3643158,9915850686.493687,378277,1814764,974159,854235.0
arunachal pradesh,2022,2,4904907,12095132402.063713,406742,2362702,1560097,982108.0
