state,year,ref_date,pop_total_000,share_18plus,pop_18plus_000,share_source_unit,share_source,share_method
INDIA,2011,1july 2011,1216147.0,0.63006,766246.3,INDIA,own,published
INDIA,2012,1july 2012,1232023.0,0.63626,783882.0,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2013,1july 2013,1247899.0,0.64245,801714.5,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2014,1july 2014,1263775.0,0.64865,819743.7,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2015,1july 2015,1279651.0,0.65484,837969.6,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2016,1july 2016,1294976.0,0.66104,856028.0,INDIA,own,published
INDIA,2017,1july 2017,1309197.0,0.66696,873177.5,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2018,1july 2018,1323419.0,0.67288,890496.1,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2019,1july 2019,1337640.0,0.67879,907982.4,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2020,1july 2020,1351862.0,0.68471,925637.6,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2021,1july 2021,1365482.0,0.69063,943045.5,INDIA,own,published
INDIA,2022,1july 2022,1377901.0,0.69558,958446.4,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2023,1july 2023,1390319.0,0.70054,973969.7,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2024,1july 2024,1402737.0,0.70549,989615.9,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2025,1july 2025,1415156.0,0.71044,1005385.8,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2026,1july 2026,1426907.0,0.71539,1020800.8,INDIA,own,published
INDIA,2027,1july 2027,1437324.0,0.71968,1034417.8,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2028,1july 2028,1447741.0,0.72397,1048124.1,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2029,1july 2029,1458158.0,0.72826,1061919.7,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2030,1july 2030,1468574.0,0.73255,1075804.0,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2031,1july 2031,1478370.0,0.73684,1089320.7,INDIA,own,published
INDIA,2032,1july 2032,1486924.0,0.74097,1101771.0,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2033,1july 2033,1495478.0,0.74511,1114292.0,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2034,1july 2034,1504032.0,0.74924,1126883.8,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2035,1july 2035,1512586.0,0.75338,1139546.2,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2036,1july 2036,1521140.0,0.75751,1152279.4,INDIA,own,published
JAMMU & KASHMIR (UT),2011,1july 2011,12309.0,0.59803,7361.1,JAMMU & KASHMIR (UT),own,published
JAMMU & KASHMIR (UT),2012,1july 2012,12435.0,0.60803,7560.9,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2013,1july 2013,12561.0,0.61804,7763.2,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2014,1july 2014,12687.0,0.62805,7968.0,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2015,1july 2015,12813.0,0.63805,8175.4,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2016,1july 2016,12931.0,0.64806,8380.0,JAMMU & KASHMIR (UT),own,published
JAMMU & KASHMIR (UT),2017,1july 2017,13033.0,0.65878,8585.9,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2018,1july 2018,13135.0,0.6695,8793.9,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2019,1july 2019,13237.0,0.68023,9004.1,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
