state,year,ref_date,pop_total_000,share_18plus,pop_18plus_000,share_source_unit,share_source,share_method
INDIA,2011,1march 2011,1210855.0,0.63006,762912.0,INDIA,own,published
INDIA,2012,1march 2012,1226731.0,0.63626,780515.0,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2013,1march 2013,1242607.0,0.64245,798314.6,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2014,1march 2014,1258483.0,0.64865,816311.0,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2015,1march 2015,1274359.0,0.65484,834504.2,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2016,1march 2016,1290235.0,0.66104,852894.0,INDIA,own,published
INDIA,2017,1march 2017,1304457.0,0.66696,870016.2,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2018,1march 2018,1318678.0,0.67288,887306.0,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2019,1march 2019,1332900.0,0.67879,904764.9,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2020,1march 2020,1347121.0,0.68471,922391.4,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2021,1march 2021,1361343.0,0.69063,940187.0,INDIA,own,published
INDIA,2022,1march 2022,1373761.0,0.69558,955566.7,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2023,1march 2023,1386180.0,0.70054,971070.1,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2024,1march 2024,1398598.0,0.70549,986695.9,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2025,1march 2025,1411016.0,0.71044,1002444.6,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2026,1march 2026,1423435.0,0.71539,1018317.0,INDIA,own,published
INDIA,2027,1march 2027,1433852.0,0.71968,1031919.0,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2028,1march 2028,1444268.0,0.72397,1045609.7,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2029,1march 2029,1454685.0,0.72826,1059390.4,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2030,1march 2030,1465102.0,0.73255,1073260.5,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2031,1march 2031,1475519.0,0.73684,1087220.0,INDIA,own,published
INDIA,2032,1march 2032,1484073.0,0.74097,1099658.5,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2033,1march 2033,1492627.0,0.74511,1112167.7,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2034,1march 2034,1501181.0,0.74924,1124747.7,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2035,1march 2035,1509734.0,0.75338,1137397.6,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2036,1march 2036,1518288.0,0.75751,1150119.0,INDIA,own,published
JAMMU & KASHMIR (UT),2011,1march 2011,12267.0,0.59803,7336.0,JAMMU & KASHMIR (UT),own,published
JAMMU & KASHMIR (UT),2012,1march 2012,12393.0,0.60803,7535.4,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2013,1march 2013,12519.0,0.61804,7737.2,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2014,1march 2014,12645.0,0.62805,7941.6,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2015,1march 2015,12771.0,0.63805,8148.6,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2016,1march 2016,12897.0,0.64806,8358.0,JAMMU & KASHMIR (UT),own,published
JAMMU & KASHMIR (UT),2017,1march 2017,12999.0,0.65878,8563.5,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2018,1march 2018,13101.0,0.6695,8771.2,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2019,1march 2019,13203.0,0.68023,8981.0,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2020,1march 2020,13305.0,0.69095,9193.1,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2021,1march 2021,13408.0,0.70167,9408.0,JAMMU & KASHMIR (UT),own,published
JAMMU & KASHMIR (UT),2022,1march 2022,13505.0,0.7121,9616.9,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2023,1march 2023,13603.0,0.72253,9828.5,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2024,1march 2024,13701.0,0.73296,10042.2,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2025,1march 2025,13798.0,0.74339,10257.2,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2026,1march 2026,13896.0,0.75381,10475.0,JAMMU & KASHMIR (UT),own,published
JAMMU & KASHMIR (UT),2027,1march 2027,13989.0,0.7603,10635.8,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2028,1march 2028,14082.0,0.76678,10797.8,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2029,1march 2029,14175.0,0.77326,10961.0,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2030,1march 2030,14268.0,0.77974,11125.4,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2031,1march 2031,14361.0,0.78623,11291.0,JAMMU & KASHMIR (UT),own,published
JAMMU & KASHMIR (UT),2032,1march 2032,14438.0,0.78697,11362.2,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2033,1march 2033,14515.0,0.78771,11433.5,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2034,1march 2034,14593.0,0.78844,11505.8,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2035,1march 2035,14670.0,0.78918,11577.3,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2036,1march 2036,14747.0,0.78992,11649.0,JAMMU & KASHMIR (UT),own,published
HIMACHAL PRADESH,2011,1march 2011,6865.0,0.68478,4701.0,HIMACHAL PRADESH,own,published
HIMACHAL PRADESH,2012,1march 2012,6923.0,0.69133,4786.1,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
HIMACHAL PRADESH,2013,1march 2013,6982.0,0.69787,4872.6,HIMACHAL PRADESH,own,linear interpolation of 18+ share between quinquennial anchors
