state,year,ref_date,pop_total_000,share_18plus,pop_18plus_000,share_source_unit,share_source,share_method
INDIA,2011,1october 2011,1220116.0,0.63006,768747.0,INDIA,own,published
INDIA,2012,1october 2012,1235992.0,0.63626,786407.3,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2013,1october 2013,1251868.0,0.64245,804264.4,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2014,1october 2014,1267744.0,0.64865,822318.2,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2015,1october 2015,1283620.0,0.65484,840568.7,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2016,1october 2016,1298531.0,0.66104,858378.0,INDIA,own,published
INDIA,2017,1october 2017,1312753.0,0.66696,875549.2,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2018,1october 2018,1326974.0,0.67288,892888.2,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2019,1october 2019,1341196.0,0.67879,910396.2,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2020,1october 2020,1355417.0,0.68471,928071.8,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2021,1october 2021,1368587.0,0.69063,945189.9,INDIA,own,published
INDIA,2022,1october 2022,1381005.0,0.69558,960605.5,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2023,1october 2023,1393424.0,0.70054,976144.8,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2024,1october 2024,1405842.0,0.70549,991806.4,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2025,1october 2025,1418260.0,0.71044,1007591.0,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2026,1october 2026,1429511.0,0.71539,1022663.7,INDIA,own,published
INDIA,2027,1october 2027,1439928.0,0.71968,1036291.8,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2028,1october 2028,1450345.0,0.72397,1050009.3,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2029,1october 2029,1460762.0,0.72826,1063816.1,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2030,1october 2030,1471179.0,0.73255,1077712.3,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2031,1october 2031,1480509.0,0.73684,1090896.8,INDIA,own,published
INDIA,2032,1october 2032,1489063.0,0.74097,1103355.9,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2033,1october 2033,1497617.0,0.74511,1115885.8,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2034,1october 2034,1506170.0,0.74924,1128485.6,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2035,1october 2035,1514724.0,0.75338,1141156.9,INDIA,own,linear interpolation of 18+ share between quinquennial anchors
INDIA,2036,1october 2036,1523278.0,0.75751,1153899.0,INDIA,own,published
JAMMU & KASHMIR (UT),2011,1october 2011,12340.0,0.59803,7379.7,JAMMU & KASHMIR (UT),own,published
JAMMU & KASHMIR (UT),2012,1october 2012,12466.0,0.60803,7579.7,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2013,1october 2013,12592.0,0.61804,7782.4,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2014,1october 2014,12718.0,0.62805,7987.5,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2015,1october 2015,12844.0,0.63805,8195.1,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2016,1october 2016,12956.0,0.64806,8396.2,JAMMU & KASHMIR (UT),own,published
JAMMU & KASHMIR (UT),2017,1october 2017,13058.0,0.65878,8602.4,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2018,1october 2018,13161.0,0.6695,8811.3,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2019,1october 2019,13263.0,0.68023,9021.8,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2020,1october 2020,13365.0,0.69095,9234.5,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2021,1october 2021,13465.0,0.70167,9448.0,JAMMU & KASHMIR (UT),own,published
JAMMU & KASHMIR (UT),2022,1october 2022,13562.0,0.7121,9657.5,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2023,1october 2023,13660.0,0.72253,9869.7,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2024,1october 2024,13758.0,0.73296,10084.0,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2025,1october 2025,13855.0,0.74339,10299.6,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2026,1october 2026,13950.0,0.75381,10515.7,JAMMU & KASHMIR (UT),own,published
JAMMU & KASHMIR (UT),2027,1october 2027,14043.0,0.7603,10676.8,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2028,1october 2028,14136.0,0.76678,10839.2,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2029,1october 2029,14229.0,0.77326,11002.7,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2030,1october 2030,14322.0,0.77974,11167.5,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2031,1october 2031,14406.0,0.78623,11326.4,JAMMU & KASHMIR (UT),own,published
JAMMU & KASHMIR (UT),2032,1october 2032,14483.0,0.78697,11397.6,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2033,1october 2033,14560.0,0.78771,11469.0,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2034,1october 2034,14638.0,0.78844,11541.3,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2035,1october 2035,14715.0,0.78918,11612.8,JAMMU & KASHMIR (UT),own,linear interpolation of 18+ share between quinquennial anchors
JAMMU & KASHMIR (UT),2036,1october 2036,14792.0,0.78992,11684.5,JAMMU & KASHMIR (UT),own,published
HIMACHAL PRADESH,2011,1october 2011,6899.0,0.68478,4724.3,HIMACHAL PRADESH,own,published
