unit,year,pop_total,pop_male,pop_female,pop_18plus,pop_18plus_source,pop_0_14,pop_15_59,pop_60plus,pdf_page
INDIA,2011,1210855,623270,587585,762912,published T-17,373831,735474,101550,164
INDIA,2016,1290235,663346,626889,852894,published T-17,360056,811758,118421,164
INDIA,2021,1361343,698959,662384,940187,published T-17,347081,876366,137897,164
INDIA,2026,1423435,729604,693831,1018317,published T-17,335056,925231,163148,164
INDIA,2031,1475519,754893,720626,1087220,published T-17,319793,961939,193787,164
INDIA,2036,1518288,775702,742586,1150119,published T-17,301203,989026,228059,164
JAMMU & KASHMIR (UT),2011,12267,6484,5783,7336,published T-17,4176,7229,863,169
JAMMU & KASHMIR (UT),2016,12897,6789,6108,8358,published T-17,3725,8125,1047,169
JAMMU & KASHMIR (UT),2021,13408,7030,6378,9408,published T-17,3167,8973,1268,169
JAMMU & KASHMIR (UT),2026,13896,7256,6640,10475,published T-17,2593,9745,1557,169
JAMMU & KASHMIR (UT),2031,14361,7467,6894,11291,published T-17,2573,9886,1902,169
JAMMU & KASHMIR (UT),2036,14747,7635,7112,11649,published T-17,2608,9853,2287,169
HIMACHAL PRADESH,2011,6865,3482,3383,4701,published T-17,1778,4373,713,173
HIMACHAL PRADESH,2016,7158,3631,3528,5136,published T-17,1648,4682,829,173
HIMACHAL PRADESH,2021,7394,3750,3644,5523,published T-17,1520,4909,965,173
HIMACHAL PRADESH,2026,7579,3843,3737,5851,published T-17,1400,5048,1131,173
HIMACHAL PRADESH,2031,7712,3908,3804,6108,published T-17,1309,5082,1320,173
HIMACHAL PRADESH,2036,7785,3945,3840,6284,published T-17,1225,5034,1526,173
PUNJAB,2011,27743,14639,13104,19001,published T-17,7096,17729,2919,177
PUNJAB,2016,29140,15347,13793,21005,published T-17,6584,19221,3335,177
PUNJAB,2021,30339,15943,14395,22738,published T-17,6182,20328,3829,177
PUNJAB,2026,31318,16423,14895,24152,published T-17,5871,20979,4468,177
PUNJAB,2031,32087,16792,15295,25307,published T-17,5520,21367,5201,177
PUNJAB,2036,32658,17055,15603,26281,published T-17,5181,21498,5979,177
UTTARAKHAND,2011,10086,5138,4949,6286,published T-17,3134,6058,894,181
UTTARAKHAND,2016,10755,5496,5258,7195,published T-17,2884,6825,1046,181
UTTARAKHAND,2021,11399,5840,5560,8063,published T-17,2709,7482,1209,181
UTTARAKHAND,2026,11993,6152,5841,8822,published T-17,2592,7990,1410,181
UTTARAKHAND,2031,12524,6429,6096,9458,published T-17,2542,8330,1652,181
UTTARAKHAND,2036,12974,6665,6309,10003,published T-17,2437,8610,1928,181
HARYANA,2011,25351,13495,11857,16213,published T-17,7539,15637,2175,185
HARYANA,2016,27455,14585,12870,18434,published T-17,7416,17530,2509,185
HARYANA,2021,29483,15623,13860,20581,published T-17,7362,19232,2890,185
HARYANA,2026,31299,16529,14770,22552,published T-17,7253,20640,3406,185
HARYANA,2031,32946,17330,15616,24425,published T-17,6968,21915,4063,185
HARYANA,2036,34469,18061,16408,26269,published T-17,6676,22970,4823,185
NCT OF DELHI,2011,16788,8987,7801,11210,derived_T18_T20 (row blank in PDF),4570,11055,1163,189
NCT OF DELHI,2016,18677,9980,8697,13138,derived_T18_T20 (row blank in PDF),4499,12683,1496,189
NCT OF DELHI,2021,20571,10963,9609,15079,derived_T18_T20 (row blank in PDF),4478,14189,1904,189
NCT OF DELHI,2026,22540,11970,10570,16956,derived_T18_T20 (row blank in PDF),4586,15529,2425,189
NCT OF DELHI,2031,24552,12983,11569,18795,derived_T18_T20 (row blank in PDF),4723,16772,3057,189
NCT OF DELHI,2036,26591,14002,12589,20636,derived_T18_T20 (row blank in PDF),4910,17904,3777,189
RAJASTHAN,2011,68548,35551,32997,40194,published T-17,23819,39833,4897,193
RAJASTHAN,2016,74240,38350,35890,45854,published T-17,23569,44888,5783,193
RAJASTHAN,2021,79281,40772,38509,51509,published T-17,23120,49327,6833,193
RAJASTHAN,2026,83642,42803,40839,56611,published T-17,22571,52882,8189,193
RAJASTHAN,2031,87198,44369,42829,61348,published T-17,21204,56204,9789,193
RAJASTHAN,2036,90563,46048,44514,66216,published T-17,19943,59008,11611,193
UTTAR PRADESH,2011,199812,104481,95332,113952,published T-17,71892,113128,14792,197
UTTAR PRADESH,2016,216087,112809,103278,130502,published T-17,70582,128846,16658,197
UTTAR PRADESH,2021,230907,120344,110563,147424,published T-17,69468,142666,18772,197
UTTAR PRADESH,2026,242859,126327,116532,161685,published T-17,68478,152607,21774,197
UTTAR PRADESH,2031,251963,130774,121190,174780,published T-17,62952,163158,25853,197
UTTAR PRADESH,2036,258990,134113,124877,188613,published T-17,56989,171321,30680,197
BIHAR,2011,104099,54278,49821,55777,published T-17,41884,55648,6568,201
BIHAR,2016,114176,59473,54703,63882,published T-17,42329,63751,8096,201
BIHAR,2021,123083,64012,59071,73449,published T-17,41288,72331,9464,201
BIHAR,2026,132265,68645,63620,83027,published T-17,41012,80049,11205,201
BIHAR,2031,141041,73045,67996,91884,published T-17,41226,86365,13449,201
BIHAR,2036,148576,76797,71779,99727,published T-17,41208,91175,16193,201
ASSAM,2011,31206,15939,15266,19041,published T-17,10255,18956,1994,205
ASSAM,2016,33168,16915,16253,21307,published T-17,9821,20980,2367,205
ASSAM,2021,35043,17843,17200,23658,published T-17,9348,22808,2888,205
