unit,year,age_band,persons,male,female,pdf_page
INDIA,2011,0-1,24416,12645,11771,165
INDIA,2016,0-1,23739,12532,11207,165
INDIA,2021,0-1,23156,12196,10960,165
INDIA,2011,0-4,119827,62145,57682,165
INDIA,2016,0-4,116513,61594,54919,165
INDIA,2021,0-4,113645,59938,53707,165
INDIA,2011,5-9,125308,65412,59896,165
INDIA,2016,5-9,118620,61536,57084,165
INDIA,2021,5-9,115305,60959,54345,165
INDIA,2011,10-14,128696,67537,61158,165
INDIA,2016,10-14,124923,65160,59763,165
INDIA,2021,10-14,118131,61225,56906,165
INDIA,2011,15-19,121748,63986,57763,165
INDIA,2016,15-19,128207,67241,60965,165
INDIA,2021,15-19,124313,64788,59525,165
INDIA,2011,20-24,111611,57844,53767,165
INDIA,2016,20-24,121001,63545,57456,165
INDIA,2021,20-24,127305,66701,60603,165
INDIA,2011,25-29,101086,51429,49657,165
INDIA,2016,25-29,110750,57310,53441,165
INDIA,2021,25-29,119966,62893,57073,165
INDIA,2011,30-34,91274,46072,45203,165
INDIA,2016,30-34,100176,50834,49341,165
INDIA,2021,30-34,109675,56606,53069,165
INDIA,2011,35-39,83137,42172,40965,165
INDIA,2016,35-39,90239,45364,44875,165
INDIA,2021,35-39,99001,50043,48958,165
INDIA,2011,40-44,73356,37681,35675,165
INDIA,2016,40-44,81906,41320,40586,165
INDIA,2021,40-44,88901,44459,44442,165
INDIA,2011,45-49,61765,32038,29727,165
INDIA,2016,45-49,71834,36643,35191,165
INDIA,2021,45-49,80248,40217,40031,165
INDIA,2011,50-54,50086,25919,24168,165
INDIA,2016,50-54,59861,30773,29088,165
INDIA,2021,50-54,69705,35253,34452,165
INDIA,2011,55-59,41410,20944,20466,165
INDIA,2016,55-59,47784,24428,23356,165
INDIA,2021,55-59,57252,29096,28156,165
INDIA,2011,60-64,35363,17518,17845,165
INDIA,2016,60-64,38478,19154,19324,165
INDIA,2021,60-64,44619,22480,22139,165
INDIA,2011,65-69,27548,13612,13935,165
INDIA,2016,65-69,31363,15214,16149,165
INDIA,2021,65-69,34470,16833,17637,165
INDIA,2011,70-74,21428,10546,10882,165
INDIA,2016,70-74,22861,11012,11849,165
INDIA,2021,70-74,26501,12551,13951,165
