unit,year,age,persons,male,female,pdf_page
INDIA,2011,5,24657,12839,11817,168
INDIA,2016,5,23488,12253,11235,168
INDIA,2021,5,22910,12122,10787,168
INDIA,2011,6,24909,12988,11921,168
INDIA,2016,6,23505,12192,11314,168
INDIA,2021,6,22957,12175,10782,168
INDIA,2011,7,25112,13110,12002,168
INDIA,2016,7,23623,12219,11404,168
INDIA,2021,7,23033,12210,10823,168
INDIA,2011,8,25264,13204,12060,168
INDIA,2016,8,23842,12334,11507,168
INDIA,2021,8,23137,12227,10910,168
INDIA,2011,9,25366,13271,12095,168
INDIA,2016,9,24161,12538,11623,168
INDIA,2021,9,23268,12225,11043,168
INDIA,2011,10,25633,13428,12205,168
INDIA,2016,10,24529,12767,11762,168
INDIA,2021,10,23346,12171,11175,168
INDIA,2011,11,25934,13604,12330,168
INDIA,2016,11,24829,12936,11893,168
INDIA,2021,11,23406,12129,11277,168
INDIA,2011,12,25987,13644,12343,168
INDIA,2016,12,25057,13069,11988,168
INDIA,2021,12,23546,12166,11380,168
INDIA,2011,13,25792,13547,12245,168
INDIA,2016,13,25212,13165,12048,168
INDIA,2021,13,23766,12282,11484,168
INDIA,2011,14,25349,13314,12035,168
INDIA,2016,14,25296,13223,12072,168
INDIA,2021,14,24067,12477,11590,168
INDIA,2011,15,24956,13123,11834,168
INDIA,2016,15,25546,13374,12172,168
INDIA,2021,15,24419,12699,11720,168
INDIA,2011,16,24730,13022,11708,168
INDIA,2016,16,25846,13550,12296,168
INDIA,2021,16,24717,12868,11850,168
INDIA,2011,17,24426,12859,11567,168
INDIA,2016,17,25893,13587,12306,168
INDIA,2021,17,24939,12997,11942,168
INDIA,2011,18,24046,12634,11412,168
INDIA,2016,18,25689,13485,12203,168
INDIA,2021,18,25084,13087,11997,168
INDIA,2011,19,23590,12347,11242,168
INDIA,2016,19,25233,13245,11988,168
INDIA,2021,19,25153,13137,12016,168
INDIA,2011,20,23139,12065,11075,168
INDIA,2016,20,24825,13045,11780,168
INDIA,2021,20,25387,13279,12108,168
INDIA,2011,21,22740,11823,10917,168
INDIA,2016,21,24586,12938,11648,168
INDIA,2021,21,25672,13447,12225,168
INDIA,2011,22,22332,11575,10756,168
INDIA,2016,22,24273,12770,11503,168
INDIA,2021,22,25709,13478,12231,168
INDIA,2011,23,21914,11321,10593,168
INDIA,2016,23,23888,12541,11347,168
INDIA,2021,23,25498,13371,12127,168
INDIA,2026,5,22161,11676,10485,168
INDIA,2031,5,20859,10962,9897,168
INDIA,2036,5,19562,10270,9292,168
INDIA,2026,6,22416,11817,10599,168
INDIA,2031,6,21101,11094,10007,168
INDIA,2036,6,19779,10383,9397,168
INDIA,2026,7,22601,11920,10681,168
INDIA,2031,7,21339,11223,10116,168
INDIA,2036,7,20014,10507,9508,168
INDIA,2026,8,22716,11985,10732,168
INDIA,2031,8,21571,11349,10222,168
INDIA,2036,8,20267,10641,9625,168
INDIA,2026,9,22762,12011,10750,168
INDIA,2031,9,21798,11472,10326,168
INDIA,2036,9,20537,10787,9750,168
INDIA,2026,10,22800,12055,10745,168
INDIA,2031,10,22082,11625,10457,168
INDIA,2036,10,20819,10939,9880,168
INDIA,2026,11,22885,12125,10760,168
INDIA,2031,11,22370,11780,10589,168
INDIA,2036,11,21089,11083,10006,168
INDIA,2026,12,22981,12168,10812,168
INDIA,2031,12,22572,11891,10681,168
INDIA,2036,12,21341,11219,10123,168
INDIA,2026,13,23087,12186,10901,168
INDIA,2031,13,22689,11956,10733,168
INDIA,2036,13,21575,11345,10230,168
INDIA,2026,14,23203,12178,11025,168
INDIA,2031,14,22721,11977,10744,168
INDIA,2036,14,21791,11463,10328,168
INDIA,2026,15,23270,12119,11150,168
INDIA,2031,15,22749,12016,10732,168
INDIA,2036,15,22065,11612,10453,168
INDIA,2026,16,23329,12078,11251,168
INDIA,2031,16,22833,12086,10747,168
INDIA,2036,16,22352,11767,10585,168
INDIA,2026,17,23463,12112,11351,168
INDIA,2031,17,22924,12127,10797,168
INDIA,2036,17,22550,11875,10675,168
INDIA,2026,18,23674,12223,11451,168
INDIA,2031,18,23022,12140,10882,168
INDIA,2036,18,22659,11936,10723,168
INDIA,2026,19,23961,12410,11551,168
INDIA,2031,19,23127,12125,11002,168
INDIA,2036,19,22680,11950,10731,168
INDIA,2026,20,24298,12623,11675,168
INDIA,2031,20,23180,12060,11121,168
INDIA,2036,20,22696,11982,10714,168
INDIA,2026,21,24584,12785,11799,168
INDIA,2031,21,23229,12013,11216,168
INDIA,2036,21,22770,12046,10724,168
INDIA,2026,22,24795,12908,11887,168
INDIA,2031,22,23355,12042,11313,168
INDIA,2036,22,22853,12082,10771,168
INDIA,2026,23,24931,12991,11940,168
INDIA,2031,23,23558,12147,11411,168
INDIA,2036,23,22944,12090,10854,168
JAMMU & KASHMIR (UT),2011,5,282,151,131,172
JAMMU & KASHMIR (UT),2016,5,253,135,118,172
JAMMU & KASHMIR (UT),2021,5,168,87,82,172
JAMMU & KASHMIR (UT),2011,6,280,149,131,172
JAMMU & KASHMIR (UT),2016,6,283,152,130,172
JAMMU & KASHMIR (UT),2021,6,164,84,80,172
JAMMU & KASHMIR (UT),2011,7,278,148,130,172
JAMMU & KASHMIR (UT),2016,7,299,162,137,172
JAMMU & KASHMIR (UT),2021,7,170,88,83,172
JAMMU & KASHMIR (UT),2011,8,276,147,130,172
JAMMU & KASHMIR (UT),2016,8,302,163,139,172
JAMMU & KASHMIR (UT),2021,8,187,97,90,172
JAMMU & KASHMIR (UT),2011,9,275,145,129,172
JAMMU & KASHMIR (UT),2016,9,291,156,135,172
JAMMU & KASHMIR (UT),2021,9,215,113,102,172
JAMMU & KASHMIR (UT),2011,10,274,145,129,172
JAMMU & KASHMIR (UT),2016,10,281,150,131,172
JAMMU & KASHMIR (UT),2021,10,252,135,117,172
JAMMU & KASHMIR (UT),2011,11,273,144,129,172
JAMMU & KASHMIR (UT),2016,11,279,149,131,172
JAMMU & KASHMIR (UT),2021,11,282,152,130,172
JAMMU & KASHMIR (UT),2011,12,271,142,129,172
JAMMU & KASHMIR (UT),2016,12,277,147,130,172
