unit,year,persons_000,male_000,female_000
INDIA,2011,1216147,625942,590205
INDIA,2012,1232023,633957,598066
INDIA,2013,1247899,641972,605927
INDIA,2014,1263775,649988,613788
INDIA,2015,1279651,658003,621648
INDIA,2016,1294976,665720,629255
INDIA,2017,1309197,672843,636354
INDIA,2018,1323419,679966,643453
INDIA,2019,1337640,687088,650552
INDIA,2020,1351862,694211,657651
INDIA,2021,1365482,701002,664480
INDIA,2022,1377901,707131,670770
INDIA,2023,1390319,713260,677059
INDIA,2024,1402737,719389,683348
INDIA,2025,1415156,725518,689638
INDIA,2026,1426907,731290,695617
INDIA,2027,1437324,736348,700976
INDIA,2028,1447741,741406,706335
INDIA,2029,1458158,746463,711694
INDIA,2030,1468574,751521,717053
INDIA,2031,1478370,756280,722090
INDIA,2032,1486924,760442,726482
INDIA,2033,1495478,764604,730874
INDIA,2034,1504032,768766,735266
INDIA,2035,1512586,772928,739658
INDIA,2036,1521140,777090,744050
JAMMU & KASHMIR (UT),2011,12309,6504,5805
JAMMU & KASHMIR (UT),2012,12435,6565,5870
JAMMU & KASHMIR (UT),2013,12561,6626,5935
JAMMU & KASHMIR (UT),2014,12687,6687,6000
JAMMU & KASHMIR (UT),2015,12813,6748,6065
JAMMU & KASHMIR (UT),2016,12931,6805,6126
JAMMU & KASHMIR (UT),2017,13033,6853,6180
JAMMU & KASHMIR (UT),2018,13135,6901,6234
JAMMU & KASHMIR (UT),2019,13237,6949,6288
JAMMU & KASHMIR (UT),2020,13340,6998,6342
JAMMU & KASHMIR (UT),2021,13440,7045,6395
JAMMU & KASHMIR (UT),2022,13538,7090,6448
JAMMU & KASHMIR (UT),2023,13636,7136,6500
JAMMU & KASHMIR (UT),2024,13733,7181,6552
JAMMU & KASHMIR (UT),2025,13831,7226,6605
JAMMU & KASHMIR (UT),2026,13927,7270,6657
JAMMU & KASHMIR (UT),2027,14020,7313,6707
JAMMU & KASHMIR (UT),2028,14113,7355,6758
JAMMU & KASHMIR (UT),2029,14206,7397,6809
JAMMU & KASHMIR (UT),2030,14299,7439,6860
JAMMU & KASHMIR (UT),2031,14387,7478,6908
JAMMU & KASHMIR (UT),2032,14464,7512,6952
JAMMU & KASHMIR (UT),2033,14541,7545,6996
JAMMU & KASHMIR (UT),2034,14618,7579,7040
JAMMU & KASHMIR (UT),2035,14696,7612,7083
JAMMU & KASHMIR (UT),2036,14773,7646,7127
HIMACHAL PRADESH,2011,6884,3492,3392
HIMACHAL PRADESH,2012,6943,3522,3421
HIMACHAL PRADESH,2013,7002,3551,3450
HIMACHAL PRADESH,2014,7061,3581,3480
HIMACHAL PRADESH,2015,7119,3611,3509
HIMACHAL PRADESH,2016,7174,3639,3536
HIMACHAL PRADESH,2017,7221,3662,3559
HIMACHAL PRADESH,2018,7268,3686,3582
HIMACHAL PRADESH,2019,7315,3710,3605
HIMACHAL PRADESH,2020,7362,3734,3629
HIMACHAL PRADESH,2021,7406,3756,3650
HIMACHAL PRADESH,2022,7443,3774,3669
HIMACHAL PRADESH,2023,7480,3793,3687
HIMACHAL PRADESH,2024,7518,3812,3706
HIMACHAL PRADESH,2025,7555,3830,3724
HIMACHAL PRADESH,2026,7588,3847,3741
HIMACHAL PRADESH,2027,7615,3860,3755
HIMACHAL PRADESH,2028,7641,3873,3768
HIMACHAL PRADESH,2029,7668,3886,3781
HIMACHAL PRADESH,2030,7694,3899,3795
HIMACHAL PRADESH,2031,7717,3911,3806
HIMACHAL PRADESH,2032,7731,3918,3813
HIMACHAL PRADESH,2033,7746,3926,3821
HIMACHAL PRADESH,2034,7761,3933,3828
HIMACHAL PRADESH,2035,7775,3941,3835
HIMACHAL PRADESH,2036,7790,3948,3842
PUNJAB,2011,27836,14687,13150
PUNJAB,2012,28116,14828,13288
PUNJAB,2013,28395,14970,13425
PUNJAB,2014,28674,15111,13563
PUNJAB,2015,28954,15253,13701
PUNJAB,2016,29220,15387,13833
PUNJAB,2017,29460,15506,13953
PUNJAB,2018,29699,15626,14074
PUNJAB,2019,29939,15745,14194
PUNJAB,2020,30179,15864,14315
PUNJAB,2021,30404,15975,14429
PUNJAB,2022,30600,16071,14529
PUNJAB,2023,30796,16167,14629
PUNJAB,2024,30992,16263,14729
PUNJAB,2025,31188,16359,14829
PUNJAB,2026,31370,16447,14922
PUNJAB,2027,31523,16521,15002
PUNJAB,2028,31677,16595,15082
PUNJAB,2029,31831,16669,15162
PUNJAB,2030,31984,16743,15241
PUNJAB,2031,32125,16810,15315
PUNJAB,2032,32239,16862,15377
PUNJAB,2033,32353,16915,15439
PUNJAB,2034,32468,16967,15500
PUNJAB,2035,32582,17020,15562
PUNJAB,2036,32696,17072,15624
HARYANA,2011,25492,13567,11924
HARYANA,2012,25912,13785,12127
HARYANA,2013,26333,14004,12330
HARYANA,2014,26754,14222,12532
HARYANA,2015,27175,14440,12735
HARYANA,2016,27590,14654,12936
HARYANA,2017,27996,14862,13134
HARYANA,2018,28401,15069,13332
HARYANA,2019,28807,15277,13530
HARYANA,2020,29213,15484,13728
HARYANA,2021,29604,15683,13921
