unit,year,persons_000,male_000,female_000
INDIA,2011,1210855,623270,587585
INDIA,2012,1226731,631285,595446
INDIA,2013,1242607,639301,603306
INDIA,2014,1258483,647316,611167
INDIA,2015,1274359,655331,619028
INDIA,2016,1290235,663346,626889
INDIA,2017,1304457,670469,633988
INDIA,2018,1318678,677591,641087
INDIA,2019,1332900,684714,648186
INDIA,2020,1347121,691836,655285
INDIA,2021,1361343,698959,662384
INDIA,2022,1373761,705088,668673
INDIA,2023,1386180,711217,674963
INDIA,2024,1398598,717346,681252
INDIA,2025,1411016,723475,687541
INDIA,2026,1423435,729604,693831
INDIA,2027,1433852,734662,699190
INDIA,2028,1444268,739720,704549
INDIA,2029,1454685,744777,709908
INDIA,2030,1465102,749835,715267
INDIA,2031,1475519,754893,720626
INDIA,2032,1484073,759055,725018
INDIA,2033,1492627,763217,729410
INDIA,2034,1501181,767379,733802
INDIA,2035,1509734,771540,738194
INDIA,2036,1518288,775702,742586
JAMMU & KASHMIR (UT),2011,12267,6484,5783
JAMMU & KASHMIR (UT),2012,12393,6545,5848
JAMMU & KASHMIR (UT),2013,12519,6606,5913
JAMMU & KASHMIR (UT),2014,12645,6667,5978
JAMMU & KASHMIR (UT),2015,12771,6728,6043
JAMMU & KASHMIR (UT),2016,12897,6789,6108
JAMMU & KASHMIR (UT),2017,12999,6837,6162
JAMMU & KASHMIR (UT),2018,13101,6885,6216
JAMMU & KASHMIR (UT),2019,13203,6933,6270
JAMMU & KASHMIR (UT),2020,13305,6982,6324
JAMMU & KASHMIR (UT),2021,13408,7030,6378
JAMMU & KASHMIR (UT),2022,13505,7075,6430
JAMMU & KASHMIR (UT),2023,13603,7120,6483
JAMMU & KASHMIR (UT),2024,13701,7166,6535
JAMMU & KASHMIR (UT),2025,13798,7211,6587
JAMMU & KASHMIR (UT),2026,13896,7256,6640
JAMMU & KASHMIR (UT),2027,13989,7299,6690
JAMMU & KASHMIR (UT),2028,14082,7341,6741
JAMMU & KASHMIR (UT),2029,14175,7383,6792
JAMMU & KASHMIR (UT),2030,14268,7425,6843
JAMMU & KASHMIR (UT),2031,14361,7467,6894
JAMMU & KASHMIR (UT),2032,14438,7501,6938
JAMMU & KASHMIR (UT),2033,14515,7534,6981
JAMMU & KASHMIR (UT),2034,14593,7568,7025
JAMMU & KASHMIR (UT),2035,14670,7601,7069
JAMMU & KASHMIR (UT),2036,14747,7635,7112
HIMACHAL PRADESH,2011,6865,3482,3383
HIMACHAL PRADESH,2012,6923,3512,3412
HIMACHAL PRADESH,2013,6982,3541,3441
HIMACHAL PRADESH,2014,7041,3571,3470
HIMACHAL PRADESH,2015,7100,3601,3499
HIMACHAL PRADESH,2016,7158,3631,3528
HIMACHAL PRADESH,2017,7206,3654,3551
HIMACHAL PRADESH,2018,7253,3678,3574
HIMACHAL PRADESH,2019,7300,3702,3598
HIMACHAL PRADESH,2020,7347,3726,3621
HIMACHAL PRADESH,2021,7394,3750,3644
HIMACHAL PRADESH,2022,7431,3768,3663
HIMACHAL PRADESH,2023,7468,3787,3681
HIMACHAL PRADESH,2024,7505,3805,3700
HIMACHAL PRADESH,2025,7542,3824,3718
HIMACHAL PRADESH,2026,7579,3843,3737
HIMACHAL PRADESH,2027,7606,3856,3750
HIMACHAL PRADESH,2028,7632,3869,3764
HIMACHAL PRADESH,2029,7659,3882,3777
HIMACHAL PRADESH,2030,7685,3895,3790
HIMACHAL PRADESH,2031,7712,3908,3804
HIMACHAL PRADESH,2032,7727,3916,3811
HIMACHAL PRADESH,2033,7741,3923,3818
HIMACHAL PRADESH,2034,7756,3931,3825
HIMACHAL PRADESH,2035,7770,3938,3832
HIMACHAL PRADESH,2036,7785,3945,3840
PUNJAB,2011,27743,14639,13104
PUNJAB,2012,28023,14781,13242
PUNJAB,2013,28302,14923,13379
PUNJAB,2014,28581,15064,13517
PUNJAB,2015,28861,15206,13655
PUNJAB,2016,29140,15347,13793
PUNJAB,2017,29380,15467,13913
PUNJAB,2018,29619,15586,14034
PUNJAB,2019,29859,15705,14154
PUNJAB,2020,30099,15824,14275
PUNJAB,2021,30339,15943,14395
PUNJAB,2022,30535,16039,14495
PUNJAB,2023,30730,16135,14595
PUNJAB,2024,30926,16231,14695
PUNJAB,2025,31122,16327,14795
PUNJAB,2026,31318,16423,14895
PUNJAB,2027,31472,16497,14975
PUNJAB,2028,31626,16571,15055
PUNJAB,2029,31779,16644,15135
PUNJAB,2030,31933,16718,15215
PUNJAB,2031,32087,16792,15295
PUNJAB,2032,32201,16845,15356
