unit,year,persons_000,male_000,female_000
INDIA,2011,1220116,627946,592170
INDIA,2012,1235992,635961,600031
INDIA,2013,1251868,643976,607892
INDIA,2014,1267744,651991,615753
INDIA,2015,1283620,660007,623614
INDIA,2016,1298531,667501,631030
INDIA,2017,1312753,674624,638129
INDIA,2018,1326974,681746,645228
INDIA,2019,1341196,688869,652327
INDIA,2020,1355417,695991,659426
INDIA,2021,1368587,702534,666053
INDIA,2022,1381005,708663,672342
INDIA,2023,1393424,714792,678631
INDIA,2024,1405842,720921,684921
INDIA,2025,1418260,727050,691210
INDIA,2026,1429511,732555,696957
INDIA,2027,1439928,737612,702316
INDIA,2028,1450345,742670,707675
INDIA,2029,1460762,747728,713034
INDIA,2030,1471179,752786,718393
INDIA,2031,1480509,757321,723188
INDIA,2032,1489063,761483,727580
INDIA,2033,1497617,765644,731972
INDIA,2034,1506170,769806,736364
INDIA,2035,1514724,773968,740756
INDIA,2036,1523278,778130,745148
JAMMU & KASHMIR (UT),2011,12340,6519,5821
JAMMU & KASHMIR (UT),2012,12466,6580,5886
JAMMU & KASHMIR (UT),2013,12592,6641,5951
JAMMU & KASHMIR (UT),2014,12718,6702,6016
JAMMU & KASHMIR (UT),2015,12844,6763,6081
JAMMU & KASHMIR (UT),2016,12956,6817,6140
JAMMU & KASHMIR (UT),2017,13058,6865,6193
JAMMU & KASHMIR (UT),2018,13161,6913,6247
JAMMU & KASHMIR (UT),2019,13263,6961,6301
JAMMU & KASHMIR (UT),2020,13365,7010,6355
JAMMU & KASHMIR (UT),2021,13465,7056,6408
JAMMU & KASHMIR (UT),2022,13562,7102,6461
JAMMU & KASHMIR (UT),2023,13660,7147,6513
JAMMU & KASHMIR (UT),2024,13758,7192,6565
JAMMU & KASHMIR (UT),2025,13855,7238,6618
JAMMU & KASHMIR (UT),2026,13950,7281,6669
JAMMU & KASHMIR (UT),2027,14043,7323,6720
JAMMU & KASHMIR (UT),2028,14136,7365,6771
JAMMU & KASHMIR (UT),2029,14229,7407,6822
JAMMU & KASHMIR (UT),2030,14322,7449,6873
